ID, Unit2 Materials Available Date, Student Submit ASR Unit 2A Date, Dates Difference of 2A, Student Submit ASR Unit 2B Date, Dates Difference of 2B, Student Submit ASR Unit 2C Date, Dates Difference of 2C
84,1/25/2013,1/27/2013,2,1/28/2013,3,2/3/2013,9

85,1/25/2013,1/29/2013,4,1/31/2013,6,2/6/2013,12

86,1/25/2013,1/29/2013,4,1/30/2013,5,2/5/2013,11

87,1/25/2013,2/4/2013,10,2/4/2013,10,2/11/2013,17

88,1/25/2013,1/29/2013,4,2/2/2013,8,2/9/2013,15

89,1/25/2013,1/30/2013,5,1/30/2013,5,2/4/2013,10

90,1/25/2013,2/3/2013,9,2/3/2013,9,2/9/2013,15

91,1/25/2013,2/2/2013,8,2/2/2013,8,2/10/2013,16

92,1/25/2013,2/1/2013,7,2/5/2013,11,2/16/2013,22

93,1/25/2013,2/3/2013,9,2/3/2013,9,2/11/2013,17

94,1/25/2013,1/29/2013,4,2/1/2013,7,2/2/2013,8

95,1/25/2013,1/29/2013,4,1/30/2013,5,1/31/2013,6

96,1/25/2013,2/7/2013,13,2/7/2013,13,2/7/2013,13

97,1/25/2013,2/4/2013,10,2/5/2013,11,2/12/2013,18

98,1/25/2013,1/27/2013,2,2/2/2013,8,2/8/2013,14

99,1/25/2013,2/4/2013,10,2/8/2013,14,2/12/2013,18

100,1/25/2013,1/30/2013,5,2/2/2013,8,2/7/2013,13

101,1/25/2013,1/29/2013,4,1/29/2013,4,2/9/2013,15

102,1/25/2013,1/29/2013,4,1/30/2013,5,2/6/2013,12

103,1/25/2013,1/30/2013,5,1/31/2013,6,2/6/2013,12

104,1/25/2013,1/30/2013,5,2/2/2013,8,2/8/2013,14

105,1/25/2013,2/2/2013,8,2/2/2013,8,2/6/2013,12

106,1/25/2013,2/4/2013,10,2/4/2013,10,2/18/2013,24

107,1/25/2013,2/1/2013,7,2/1/2013,7,2/9/2013,15

108,1/25/2013,1/29/2013,4,1/30/2013,5,2/7/2013,13

109,1/25/2013,1/30/2013,5,2/4/2013,10,2/7/2013,13

110,1/25/2013,1/30/2013,5,2/5/2013,11,2/12/2013,18

