ID, Unit Materials Available Date, Student Submit ASR Date, Dates Difference

1,3/1/2013,3/9/2013,8

2,3/1/2013,Unfinished,None

3,3/1/2013,3/6/2013,5

4,3/1/2013,3/9/2013,8

5,3/1/2013,3/10/2013,9

6,3/1/2013,3/5/2013,4

7,3/1/2013,3/7/2013,6

8,3/1/2013,3/11/2013,10

9,3/1/2013,3/12/2013,11

10,3/1/2013,3/7/2013,6

11,3/1/2013,3/14/2013,13

12,3/1/2013,3/2/2013,1

13,3/1/2013,3/12/2013,11

14,3/1/2013,3/11/2013,10

15,3/1/2013,3/10/2013,9

16,3/1/2013,3/5/2013,4

17,3/1/2013,3/7/2013,6

18,3/1/2013,3/3/2013,2

19,3/1/2013,3/12/2013,11

20,3/1/2013,3/8/2013,7

21,3/1/2013,3/2/2013,1

22,3/1/2013,3/5/2013,4

23,3/1/2013,Unfinished,None

24,3/1/2013,3/10/2013,9

25,3/1/2013,3/12/2013,11

26,3/1/2013,3/6/2013,5

27,3/1/2013,3/12/2013,11

28,3/1/2013,3/10/2013,9

29,3/1/2013,3/12/2013,11

30,3/1/2013,3/10/2013,9

31,3/1/2013,3/11/2013,10

32,3/1/2013,3/11/2013,10

33,3/1/2013,3/11/2013,10

34,3/1/2013,3/2/2013,1

35,3/1/2013,3/23/2013,22

36,3/1/2013,3/3/2013,2

37,3/1/2013,3/12/2013,11

38,3/1/2013,3/6/2013,5

39,3/1/2013,3/11/2013,10

40,3/1/2013,3/9/2013,8

41,3/1/2013,3/11/2013,10

42,3/1/2013,3/4/2013,3

43,3/1/2013,3/8/2013,7

44,3/1/2013,3/9/2013,8

45,3/1/2013,3/9/2013,8

46,3/1/2013,3/7/2013,6

47,3/1/2013,3/11/2013,10

48,3/1/2013,3/25/2013,24

49,3/1/2013,3/12/2013,11

50,3/1/2013,3/7/2013,6

51,3/1/2013,3/10/2013,9

52,3/1/2013,3/10/2013,9

53,3/1/2013,3/6/2013,5

54,3/1/2013,3/5/2013,4

55,3/1/2013,3/10/2013,9

56,3/1/2013,3/8/2013,7

57,3/1/2013,3/9/2013,8

58,3/1/2013,3/11/2013,10

59,3/1/2013,3/5/2013,4

60,3/1/2013,3/8/2013,7

61,3/1/2013,3/6/2013,5

62,3/1/2013,3/12/2013,11

63,3/1/2013,3/9/2013,8

64,3/1/2013,3/12/2013,11

65,3/1/2013,3/12/2013,11

66,3/1/2013,3/6/2013,5

67,3/1/2013,3/7/2013,6

68,3/1/2013,3/10/2013,9

69,3/1/2013,3/11/2013,10

70,3/1/2013,3/10/2013,9

71,3/1/2013,3/10/2013,9

72,3/1/2013,3/5/2013,4

73,3/1/2013,3/11/2013,10

74,3/1/2013,3/11/2013,10

75,3/1/2013,3/4/2013,3

76,3/1/2013,3/12/2013,11

77,3/1/2013,3/8/2013,7

78,3/1/2013,3/12/2013,11

79,3/1/2013,3/10/2013,9

80,3/1/2013,3/12/2013,11

81,3/1/2013,3/4/2013,3

82,3/1/2013,3/12/2013,11

83,3/1/2013,3/12/2013,11

84,3/1/2013,3/4/2013,3

85,3/1/2013,3/10/2013,9

86,3/1/2013,3/6/2013,5

87,3/1/2013,3/12/2013,11

88,3/1/2013,3/11/2013,10

89,3/1/2013,3/6/2013,5

90,3/1/2013,3/11/2013,10

91,3/1/2013,3/10/2013,9

92,3/1/2013,3/25/2013,24

93,3/1/2013,3/12/2013,11

94,3/1/2013,3/9/2013,8

95,3/1/2013,3/6/2013,5

96,3/1/2013,Unfinished,None

97,3/1/2013,3/12/2013,11

98,3/1/2013,3/10/2013,9

99,3/1/2013,3/15/2013,14

100,3/1/2013,3/6/2013,5

101,3/1/2013,3/9/2013,8

102,3/1/2013,3/6/2013,5

103,3/1/2013,3/10/2013,9

104,3/1/2013,3/12/2013,11

105,3/1/2013,3/8/2013,7

106,3/1/2013,3/18/2013,17

107,3/1/2013,3/11/2013,10

108,3/1/2013,3/6/2013,5

109,3/1/2013,3/6/2013,5

110,3/1/2013,3/6/2013,5

