ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,34,12,17,1,6,1,4,4,1,0,4,4,4,13,10,16,8,9,0,0
2,8,5,8,5,2,1,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,31,3,65,1,18,13,12,7,6,8,2,3,4,11,5,12,5,3,0,0
4,28,15,4,3,0,0,0,1,0,0,6,6,6,17,8,18,8,8,1,0
5,34,25,74,9,22,11,17,9,6,0,5,3,8,14,9,16,9,9,0,0
6,28,18,100,6,42,17,16,11,8,0,5,-1,9,16,9,9,4,9,0,0
7,33,25,82,9,21,8,24,9,5,6,0,2,5,12,8,11,6,3,0,0
8,29,5,45,1,18,5,15,5,1,0,12,9,10,16,10,17,10,0,0,0
9,32,14,74,2,23,11,28,7,2,1,13,4,11,16,11,18,11,0,0,0
10,55,58,134,11,55,16,29,15,6,2,8,4,6,13,6,2,6,7,0,0
11,24,15,76,11,20,10,16,12,7,0,5,6,6,16,8,8,13,0,0,0
12,48,18,45,1,13,5,13,4,4,5,5,4,4,8,4,9,1,2,2,2
13,22,0,64,4,24,8,17,8,3,0,14,10,10,18,12,18,11,0,0,0
14,33,19,18,2,12,1,1,1,1,0,6,7,8,15,10,16,10,9,0,0
15,27,47,40,1,14,7,10,4,4,0,4,10,10,14,8,16,9,9,0,0
16,47,23,64,1,20,7,20,8,7,1,8,5,5,12,5,8,4,4,0,0
17,35,16,69,1,23,13,14,10,5,3,9,3,4,13,6,5,6,7,0,0
18,36,13,74,5,17,13,17,8,9,5,5,2,2,9,2,9,2,0,2,2
19,23,12,64,2,28,10,11,6,7,0,11,7,11,18,11,18,11,0,0,0
20,27,2,55,4,16,8,13,4,6,4,6,5,3,11,3,4,7,7,0,0
21,35,11,46,1,14,8,7,3,6,7,4,2,2,8,3,15,1,1,2,2
22,51,39,115,2,41,13,28,15,12,4,8,2,5,12,5,3,4,5,0,0
23,17,10,18,9,9,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
24,28,14,18,2,9,2,1,1,2,1,9,2,5,9,7,15,9,5,0,0
25,26,5,32,4,11,4,7,4,2,0,5,10,10,16,11,7,11,0,0,0
26,27,20,91,5,32,14,23,8,6,3,5,9,9,12,5,5,5,5,0,0
27,25,2,2,2,0,0,0,0,0,0,14,11,11,18,11,18,11,0,0,0
28,21,16,45,1,15,10,14,3,2,0,12,6,9,16,9,9,9,0,0,0
29,29,42,47,7,22,3,6,9,0,0,13,10,10,17,11,10,11,0,0,0
30,31,9,43,3,10,7,12,5,6,0,3,5,5,11,5,16,9,0,0,0
31,35,18,77,9,30,11,14,6,7,0,5,6,8,16,10,16,10,9,0,0
32,39,54,17,3,4,1,6,0,3,0,9,4,9,18,9,18,10,6,2,0
33,50,60,39,5,11,6,4,4,8,1,4,5,5,13,7,15,10,9,0,0
34,40,52,11,5,2,2,2,0,0,0,5,3,3,8,3,10,1,1,0,0
35,16,3,24,6,11,5,2,0,0,0,14,17,18,25,28,0,0,0,0,0
36,31,29,50,3,20,4,9,5,3,6,6,2,2,9,-22,-29,2,1,1,1
37,26,1,11,1,4,0,5,1,0,0,8,11,11,11,10,17,11,0,0,0
38,33,18,78,2,17,11,29,8,11,0,6,7,7,15,7,8,5,6,0,0
39,24,1,62,3,17,9,13,9,11,0,7,2,2,12,4,13,10,8,0,0
40,29,41,39,3,13,5,13,4,1,0,6,2,2,12,5,15,8,8,0,0
41,32,16,81,10,30,10,21,5,3,2,0,3,5,14,10,5,10,8,0,0
42,31,40,54,2,15,5,20,5,6,1,5,2,2,9,4,9,3,2,0,0
43,27,28,21,1,8,5,2,2,1,2,9,6,6,14,8,13,7,8,0,0
44,53,62,91,2,33,16,20,10,10,0,11,8,8,15,8,15,8,8,0,0
45,26,0,74,3,34,8,19,9,1,0,2,9,10,17,11,11,8,0,0,0
46,23,3,45,2,9,8,11,6,4,5,8,5,5,15,9,17,6,7,0,0
47,24,8,52,3,18,7,13,7,4,0,7,9,9,16,10,9,10,0,0,0
48,14,1,33,7,18,8,0,0,0,0,9,10,11,18,37,0,0,0,0,0
49,23,17,54,2,17,8,17,7,2,1,14,8,18,18,11,18,11,0,0,0
50,28,3,59,2,17,8,12,10,8,2,9,6,6,12,6,13,6,5,0,0
51,31,8,35,5,7,3,10,6,4,0,8,5,5,6,3,10,9,9,0,0
52,29,1,29,3,9,4,6,6,1,0,9,6,6,13,8,7,9,8,0,0
53,31,28,103,6,31,9,23,13,9,12,2,4,4,8,2,8,5,2,0,0
54,27,6,35,3,13,4,6,2,6,1,8,10,10,12,4,3,4,3,0,0
55,22,11,43,5,9,7,8,4,10,0,12,11,11,16,11,10,9,0,0,0
56,21,7,49,1,15,8,11,9,4,1,12,8,8,16,9,16,7,5,0,0
57,43,38,21,2,4,3,8,1,1,2,5,-1,6,13,8,16,8,9,0,0
58,40,26,98,15,32,6,33,12,0,0,8,9,9,9,11,11,10,0,0,0
59,39,4,74,4,23,11,15,10,10,1,13,10,10,17,10,16,4,9,0,0
60,61,34,78,9,23,12,16,12,6,0,3,4,9,14,9,5,7,7,0,0
61,33,13,54,1,13,18,15,2,4,1,8,2,4,4,5,4,5,5,0,0
62,29,4,58,11,16,19,0,7,5,0,4,6,6,6,6,18,11,9,0,0
63,29,11,70,3,20,15,18,10,4,0,2,6,10,15,11,15,8,0,0,0
64,38,11,59,2,23,9,11,5,7,2,14,9,9,18,11,18,11,0,0,0
65,24,5,52,3,17,7,16,5,4,0,6,11,11,18,11,18,11,0,0,0
66,26,21,12,4,3,1,1,3,0,0,2,4,4,12,4,11,5,5,0,0
67,36,44,69,1,22,5,28,11,2,0,8,2,5,11,4,12,6,6,0,0
68,31,29,95,0,33,13,32,11,6,0,8,4,8,14,8,16,9,4,0,0
69,32,4,83,1,28,12,26,9,7,0,13,8,10,16,10,4,10,0,0,0
70,37,40,122,10,30,18,32,19,13,0,11,7,7,14,7,9,9,7,0,0
71,25,16,54,2,17,6,17,7,5,0,13,5,9,12,9,16,9,9,0,0
72,34,14,49,5,10,8,16,7,1,2,3,4,4,8,2,12,4,0,0,0
73,36,53,94,9,30,13,18,12,10,2,9,5,5,16,8,16,10,9,0,0
74,29,30,45,1,14,8,13,6,3,0,5,4,9,16,8,17,10,0,0,0
75,69,124,61,4,19,3,10,12,7,6,3,2,2,9,2,2,3,1,2,2
76,27,6,60,4,18,9,17,7,5,0,11,7,9,18,11,18,11,0,0,0
77,47,60,74,10,21,9,19,9,5,1,8,7,7,14,8,5,7,6,0,0
78,26,31,73,4,29,10,15,13,2,0,6,10,10,17,10,17,11,0,0,0
79,36,19,76,8,14,16,19,8,10,1,2,9,9,16,8,17,9,9,0,0
80,28,2,52,5,19,6,10,6,6,0,12,5,8,13,10,17,11,6,0,0
81,21,31,104,9,27,24,20,16,8,0,9,6,6,13,6,6,3,6,0,0
82,31,9,109,3,37,28,28,11,2,0,7,6,5,14,9,12,11,0,0,0
83,31,24,69,4,23,11,18,13,0,0,16,13,13,19,15,11,11,0,0,0
84,23,4,45,2,15,4,13,5,3,3,6,2,3,9,1,11,3,1,0,0
85,28,1,49,1,17,7,11,5,7,1,7,4,6,12,5,14,9,5,0,0
86,27,24,105,4,21,20,25,15,9,11,7,4,5,11,3,12,5,4,1,2
87,26,31,73,4,29,10,15,13,2,0,6,10,10,17,10,17,11,0,0,0
88,23,2,75,1,20,10,18,11,11,4,12,4,8,15,9,16,10,8,0,0
89,57,76,48,10,17,8,8,2,2,1,6,5,5,10,5,8,5,4,0,0
90,45,32,88,2,33,10,21,9,9,4,9,9,9,15,8,14,10,9,0,0
91,20,2,20,1,5,2,9,1,2,0,12,8,8,16,8,16,9,9,0,0
92,27,16,69,4,32,16,10,2,5,0,12,7,11,22,26,0,0,9,0,0
93,34,15,18,5,3,4,3,2,1,0,13,9,9,17,11,17,11,0,0,0
94,28,22,73,4,24,6,20,14,5,0,7,4,7,8,9,15,8,0,0,0
95,30,4,55,2,16,8,13,8,5,3,9,4,5,6,7,7,5,5,0,0
96,17,2,71,0,23,14,26,8,0,0,20,13,13,13,18,25,0,0,0,0
97,27,13,6,4,0,0,2,0,0,0,3,10,11,18,32,18,11,9,0,0
98,31,7,39,4,11,2,9,5,3,5,11,2,8,14,9,9,9,7,0,0
99,17,3,50,4,22,10,4,8,2,0,12,10,14,18,21,27,14,0,0,0
100,31,23,25,5,4,1,6,1,4,4,11,5,8,13,8,15,5,5,0,0
101,44,31,106,7,33,17,29,10,10,0,3,4,4,15,8,14,8,5,0,0
102,22,0,41,2,10,5,14,6,4,0,8,4,5,12,5,11,5,5,0,0
103,28,4,68,3,23,6,21,5,7,3,6,5,6,12,10,16,9,5,0,0
104,28,2,95,2,31,12,20,11,10,9,7,5,8,14,10,16,11,8,0,0
105,29,20,64,3,21,11,12,9,8,0,1,8,8,12,6,13,7,5,0,0
106,46,75,69,13,31,8,10,7,0,0,4,10,10,24,17,25,0,0,0,0
107,30,7,60,3,20,7,13,9,8,0,8,7,7,15,9,3,10,8,0,0
108,23,2,67,2,22,12,15,7,8,1,8,4,5,13,5,15,5,9,0,0
109,24,11,86,7,21,11,24,12,11,0,9,5,10,13,11,15,5,0,0,0
110,31,7,72,4,20,6,24,12,6,0,14,5,11,18,10,17,5,8,0,0
