ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,19,8,7,1,6,0,0,0,0,0,4,4,4,13,0,0,0,0,0,0
2,8,5,6,5,1,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,16,2,20,1,18,1,0,0,0,0,2,3,4,11,0,0,0,0,0,0
4,10,4,3,3,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
5,19,16,31,9,22,0,0,0,0,0,5,3,8,14,0,0,0,0,0,0
6,15,9,45,5,40,0,0,0,0,0,5,-1,9,16,0,0,0,0,0,0
7,16,11,31,9,21,1,0,0,0,0,0,2,5,12,0,0,0,0,0,0
8,11,2,19,1,18,0,0,0,0,0,12,9,10,16,0,0,0,0,0,0
9,16,8,25,2,22,1,0,0,0,0,13,4,11,16,0,0,0,0,0,0
10,30,36,67,11,53,3,0,0,0,0,8,4,6,13,0,0,0,0,0,0
11,14,4,30,11,19,0,0,0,0,0,5,6,6,16,0,0,0,0,0,0
12,24,9,17,1,13,3,0,0,0,0,5,4,4,8,0,0,0,0,0,0
13,11,0,25,4,20,1,0,0,0,0,14,10,10,0,0,0,0,0,0,0
14,15,13,14,2,12,0,0,0,0,0,6,7,8,15,0,0,0,0,0,0
15,13,24,14,1,13,0,0,0,0,0,4,10,10,14,0,0,0,0,0,0
16,26,10,21,1,20,0,0,0,0,0,8,5,5,12,0,0,0,0,0,0
17,18,9,26,1,23,2,0,0,0,0,9,3,4,13,0,0,0,0,0,0
18,21,11,30,5,17,8,0,0,0,0,5,2,2,9,2,0,0,0,0,0
19,12,7,20,2,18,0,0,0,0,0,11,7,11,0,0,0,0,0,0,0
20,13,2,20,4,16,0,0,0,0,0,6,5,3,11,0,0,0,0,0,0
21,15,4,18,1,14,3,0,0,0,0,4,2,2,8,0,0,0,0,0,0
