ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,34,12,16,1,6,1,4,4,0,0,4,4,4,13,10,16,8,0,0,0
2,8,5,8,5,2,1,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,29,3,56,1,18,13,12,7,5,0,2,3,4,11,5,12,5,0,0,0
4,25,15,4,3,0,0,0,1,0,0,6,6,6,17,8,18,8,0,0,0
5,30,23,68,9,22,11,17,9,0,0,5,3,8,14,9,16,9,0,0,0
6,26,18,86,5,40,16,15,10,0,0,5,-1,9,16,9,9,4,0,0,0
7,28,20,73,9,21,8,24,9,2,0,0,2,5,12,8,11,6,0,0,0
8,20,4,43,1,18,5,15,4,0,0,12,9,10,16,10,17,0,0,0,0
9,28,11,67,2,23,11,28,3,0,0,13,4,11,16,11,18,0,0,0,0
10,49,55,129,11,55,16,29,15,3,0,8,4,6,13,6,2,6,0,0,0
11,21,15,62,11,20,10,16,5,0,0,5,6,6,16,8,8,0,0,0,0
12,42,16,40,1,13,5,13,4,4,0,5,4,4,8,4,9,1,2,0,0
13,20,0,56,4,24,8,17,3,0,0,14,10,10,18,12,18,0,0,0,0
14,26,17,17,2,12,1,1,1,0,0,6,7,8,15,10,16,0,0,0,0
15,24,45,35,1,14,7,10,3,0,0,4,10,10,14,8,16,9,0,0,0
16,43,21,56,1,20,7,20,8,0,0,8,5,5,12,5,8,4,0,0,0
17,32,16,62,1,23,13,14,10,1,0,9,3,4,13,6,5,6,0,0,0
18,33,12,68,5,17,13,17,8,8,0,5,2,2,9,2,9,2,0,0,0
19,21,11,51,2,28,10,11,0,0,0,11,7,11,18,11,18,0,0,0,0
20,21,2,45,4,16,8,13,4,0,0,6,5,3,11,3,4,7,0,0,0
21,29,9,39,1,14,8,7,3,6,0,4,2,2,8,3,15,1,1,0,0
22,42,32,95,2,41,13,28,11,0,0,8,2,5,12,5,3,4,0,0,0
23,17,10,18,9,9,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
24,21,13,15,2,9,2,1,1,0,0,9,2,5,9,7,15,9,0,0,0
25,23,5,28,4,11,4,7,2,0,0,5,10,10,16,11,7,0,0,0,0
26,25,18,86,5,32,14,23,8,4,0,5,9,9,12,5,5,5,0,0,0
27,22,2,2,2,0,0,0,0,0,0,14,11,11,18,11,18,0,0,0,0
28,18,16,43,1,15,10,14,3,0,0,12,6,9,16,9,9,9,0,0,0
29,26,37,38,7,22,3,6,0,0,0,13,10,10,17,11,10,0,0,0,0
30,28,8,37,3,10,7,12,5,0,0,3,5,5,11,5,16,9,0,0,0
31,30,18,69,9,30,11,14,5,0,0,5,6,8,16,10,16,0,0,0,0
32,31,44,14,3,4,1,6,0,0,0,9,4,9,18,9,18,0,0,0,0
33,45,52,30,5,11,6,4,4,0,0,4,5,5,13,7,15,0,0,0,0
34,36,44,11,5,2,2,2,0,0,0,5,3,3,8,3,10,1,1,0,0
35,16,3,23,6,11,4,2,0,0,0,14,17,18,25,28,0,0,0,0,0
36,27,24,43,3,20,4,9,5,2,0,6,2,2,9,-22,-29,2,1,0,0
37,22,1,10,1,4,0,5,0,0,0,8,11,11,11,10,17,0,0,0,0
38,30,18,67,2,17,11,29,8,0,0,6,7,7,15,7,8,5,0,0,0
39,20,0,47,3,17,9,13,5,0,0,7,2,2,12,4,13,0,0,0,0
40,27,41,37,3,13,5,13,3,0,0,6,2,2,12,5,15,8,0,0,0
41,26,15,75,10,30,10,21,4,0,0,0,3,5,14,10,5,0,0,0,0
42,31,40,47,2,15,5,20,5,0,0,5,2,2,9,4,9,3,2,0,0
43,23,25,17,1,8,5,2,1,0,0,9,6,6,14,8,13,7,0,0,0
44,52,62,85,2,33,16,20,10,4,0,11,8,8,15,8,15,8,0,0,0
45,22,0,72,3,34,8,19,8,0,0,2,9,10,17,11,11,8,0,0,0
46,21,3,36,2,9,8,11,6,0,0,8,5,5,15,9,17,6,0,0,0
47,22,8,42,3,18,7,13,1,0,0,7,9,9,16,10,9,0,0,0,0
48,13,1,32,7,18,7,0,0,0,0,9,10,11,18,0,0,0,0,0,0
49,19,16,48,2,17,8,17,4,0,0,14,8,18,18,11,18,0,0,0,0
50,24,3,50,2,17,8,12,10,1,0,9,6,6,12,6,13,6,0,0,0
51,27,8,31,5,7,3,10,6,0,0,8,5,5,6,3,10,9,0,0,0
52,25,1,28,3,9,4,6,6,0,0,9,6,6,13,8,7,9,0,0,0
53,28,25,90,6,31,9,23,13,8,0,2,4,4,8,2,8,5,2,0,0
54,23,6,28,3,13,4,6,2,0,0,8,10,10,12,4,3,4,0,0,0
55,22,10,27,5,7,5,7,3,0,0,12,11,11,16,11,10,9,0,0,0
56,19,7,45,1,15,8,11,9,1,0,12,8,8,16,9,16,7,0,0,0
57,38,34,18,2,4,3,8,1,0,0,5,-1,6,13,8,16,8,0,0,0
58,35,25,92,15,32,6,33,6,0,0,8,9,9,9,11,11,0,0,0,0
59,32,4,73,4,23,11,15,10,10,0,13,10,10,17,10,16,4,0,0,0
60,45,27,71,9,23,12,16,11,0,0,3,4,9,14,9,5,7,0,0,0
61,31,13,51,1,13,18,15,2,2,0,8,2,4,4,5,4,5,0,0,0
62,23,4,53,11,16,19,0,7,0,0,4,6,6,6,6,18,0,0,0,0
63,25,8,66,3,20,15,18,10,0,0,2,6,10,15,11,15,8,0,0,0
64,30,9,47,2,23,9,11,2,0,0,14,9,9,18,11,18,0,0,0,0
65,21,5,46,3,17,7,16,3,0,0,6,11,11,18,11,18,0,0,0,0
66,23,19,12,4,3,1,1,3,0,0,2,4,4,12,4,11,5,0,0,0
67,29,34,64,1,22,5,28,8,0,0,8,2,5,11,4,12,6,0,0,0
68,28,27,89,0,33,13,32,11,0,0,8,4,8,14,8,16,9,0,0,0
69,29,4,72,1,28,12,26,5,0,0,13,8,10,16,10,4,0,0,0,0
70,34,38,108,10,30,18,32,18,0,0,11,7,7,14,7,9,9,0,0,0
71,23,16,49,2,17,6,17,7,0,0,13,5,9,12,9,16,9,0,0,0
72,31,14,46,5,10,8,16,7,0,0,3,4,4,8,2,12,4,0,0,0
73,29,48,78,9,30,13,18,8,0,0,9,5,5,16,8,16,0,0,0,0
74,26,28,40,1,14,8,13,4,0,0,5,4,9,16,8,17,0,0,0,0
75,63,115,55,4,19,3,10,12,7,0,3,2,2,9,2,2,3,1,0,0
76,24,5,52,4,18,9,17,4,0,0,11,7,9,18,11,18,0,0,0,0
77,40,55,67,10,21,9,18,9,0,0,8,7,7,14,8,5,7,0,0,0
78,24,30,60,4,29,10,15,2,0,0,6,10,10,17,10,17,0,0,0,0
79,31,16,65,8,14,16,19,8,0,0,2,9,9,16,8,17,9,0,0,0
80,22,2,45,5,19,6,10,5,0,0,12,5,8,13,10,17,0,0,0,0
81,19,31,97,9,27,24,20,16,1,0,9,6,6,13,6,6,3,0,0,0
82,29,9,102,3,37,28,28,6,0,0,7,6,5,14,9,12,0,0,0,0
83,28,24,56,4,23,11,18,0,0,0,16,13,13,19,15,11,0,0,0,0
84,22,4,42,2,15,4,13,5,3,0,6,2,3,9,1,11,3,1,0,0
85,24,1,41,1,17,7,11,5,0,0,7,4,6,12,5,14,9,0,0,0
86,22,22,89,4,21,20,25,15,4,0,7,4,5,11,3,12,5,0,0,0
87,24,30,60,4,29,10,15,2,0,0,6,10,10,17,10,17,0,0,0,0
88,18,1,59,1,20,10,18,10,0,0,12,4,8,15,9,16,0,0,0,0
89,48,65,45,10,17,8,8,2,0,0,6,5,5,10,5,8,5,0,0,0
90,37,28,74,2,33,10,21,8,0,0,9,9,9,15,8,14,0,0,0,0
91,18,1,18,1,5,2,9,1,0,0,12,8,8,16,8,16,9,0,0,0
92,27,16,57,4,32,16,4,1,0,0,12,7,11,22,26,0,0,0,0,0
93,28,14,17,5,3,4,3,2,0,0,13,9,9,17,11,17,0,0,0,0
94,26,20,68,4,24,6,20,14,0,0,7,4,7,8,9,15,8,0,0,0
95,27,4,48,2,16,8,13,8,1,0,9,4,5,6,7,7,5,0,0,0
96,15,2,57,0,23,14,20,0,0,0,20,13,13,13,18,0,0,0,0,0
97,21,12,6,4,0,0,2,0,0,0,3,10,11,18,0,18,0,0,0,0
98,28,6,33,4,11,2,9,5,2,0,11,2,8,14,9,9,9,0,0,0
99,15,3,42,4,22,10,4,2,0,0,12,10,14,18,21,0,0,0,0,0
