ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
100,28,19,21,5,4,1,6,1,4,0,11,5,8,13,8,15,5,0,0,0
101,35,22,96,7,33,17,29,10,0,0,3,4,4,15,8,14,8,0,0,0
102,19,0,37,2,10,5,14,6,0,0,8,4,5,12,5,11,5,0,0,0
103,24,4,58,3,23,6,21,5,0,0,6,5,6,12,10,16,9,0,0,0
104,22,2,77,2,31,12,20,10,2,0,7,5,8,14,10,16,0,0,0,0
105,26,19,52,2,20,10,11,8,1,0,1,8,8,12,6,13,7,0,0,0
106,40,67,62,13,31,8,10,0,0,0,4,10,10,24,17,0,0,0,0,0
107,23,6,47,3,20,7,13,4,0,0,8,7,7,15,9,3,0,0,0,0
108,19,2,58,2,22,12,15,7,0,0,8,4,5,13,5,15,5,0,0,0
109,21,9,74,7,21,11,24,11,0,0,9,5,10,13,11,15,5,0,0,0
110,29,6,67,4,20,6,24,12,1,0,14,5,11,18,10,17,5,0,0,0
