ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,44,16,25,1,7,2,5,5,4,1,4,4,4,13,10,16,8,9,8,8
2,8,5,8,5,2,1,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,36,3,70,1,18,13,12,7,6,13,2,3,4,11,5,12,5,3,6,6
4,32,16,4,3,0,0,0,1,0,0,6,6,6,17,8,18,8,8,1,8
5,39,27,84,9,22,11,17,9,8,8,5,3,8,14,9,16,9,9,8,9
6,31,18,104,6,42,17,16,11,8,4,5,-1,9,16,9,9,4,9,9,9
7,47,27,91,9,21,8,24,9,5,15,0,2,5,12,8,11,6,3,5,5
8,32,6,49,1,18,5,15,5,4,1,12,9,10,16,10,17,10,11,0,0
9,37,16,84,2,23,11,28,7,2,11,13,4,11,16,11,18,11,10,8,0
10,57,60,155,11,55,16,30,16,6,21,8,4,6,13,6,2,6,7,7,7
11,26,15,89,11,20,10,16,14,10,8,5,6,6,16,8,8,13,13,0,0
12,51,19,45,1,13,5,13,4,4,5,5,4,4,8,4,9,1,2,2,2
13,27,1,77,4,24,8,17,8,5,11,14,10,10,18,12,18,11,10,8,8
14,33,19,19,2,12,1,1,1,1,1,6,7,8,15,10,16,10,9,0,0
15,32,50,52,1,14,7,10,4,4,12,4,10,10,14,8,16,9,9,9,9
16,53,25,73,1,20,7,20,8,7,10,8,5,5,12,5,8,4,4,7,7
17,40,17,73,1,23,13,14,10,5,7,9,3,4,13,6,5,6,7,6,6
18,37,13,74,5,17,13,17,8,9,5,5,2,2,9,2,9,2,0,2,2
19,26,12,70,2,28,10,11,6,9,4,11,7,11,18,11,18,11,11,0,0
20,32,2,58,4,16,8,13,4,6,7,6,5,3,11,3,4,7,7,4,4
21,38,13,46,1,14,8,7,3,6,7,4,2,2,8,3,15,1,1,2,2
22,54,39,130,2,41,13,28,15,12,19,8,2,5,12,5,3,4,5,3,5
23,17,10,18,9,9,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
24,28,15,18,2,9,2,1,1,2,1,9,2,5,9,7,15,9,5,0,0
25,30,5,37,4,11,4,7,4,4,3,5,10,10,16,11,7,11,10,0,0
26,32,20,100,5,32,14,23,8,7,11,5,9,9,12,5,5,5,5,5,5
27,29,2,2,2,0,0,0,0,0,0,14,11,11,18,11,18,11,11,0,0
28,23,16,48,1,15,10,14,3,2,3,12,6,9,16,9,9,9,10,0,0
29,36,48,68,7,22,3,6,9,8,13,13,10,10,17,11,10,11,11,9,9
30,37,9,56,3,10,7,13,5,7,11,3,5,5,11,5,16,9,10,8,9
31,38,18,86,9,30,11,14,6,7,9,5,6,8,16,10,16,10,9,8,0
32,43,58,19,3,4,1,6,0,3,2,9,4,9,18,9,18,10,6,2,6
33,65,67,42,5,11,6,4,4,8,4,4,5,5,13,7,15,10,9,7,7
34,45,58,11,5,2,2,2,0,0,0,5,3,3,8,3,10,1,1,4,4
35,22,3,39,6,11,5,5,5,4,3,14,17,18,25,28,36,22,0,0,0
36,33,32,52,3,20,4,9,5,3,8,6,2,2,9,-22,-29,2,1,1,1
37,29,1,14,1,4,0,5,1,1,2,8,11,11,11,10,17,11,11,0,0
38,59,18,91,2,17,11,30,9,12,10,6,7,7,15,7,8,5,6,6,6
39,27,1,71,3,17,9,13,9,11,9,7,2,2,12,4,13,10,8,8,9
40,59,41,40,3,13,5,13,4,1,1,6,2,2,12,5,15,8,8,8,8
41,32,16,86,10,30,10,21,5,3,7,0,3,5,14,10,5,10,8,0,0
42,41,45,55,2,15,5,20,5,6,2,5,2,2,9,4,9,3,2,3,3
43,28,28,22,1,8,5,2,2,1,3,9,6,6,14,8,13,7,8,5,9
44,60,65,103,2,33,16,20,10,11,11,11,8,8,15,8,15,8,8,8,8
45,31,0,86,3,34,8,19,9,6,7,2,9,10,17,11,11,8,11,8,0
46,23,3,45,2,9,8,11,6,4,5,8,5,5,15,9,17,6,7,0,0
47,28,8,58,3,18,7,13,7,6,4,7,9,9,16,10,9,10,10,0,0
48,18,2,44,7,18,8,5,6,0,0,9,10,11,18,37,33,0,0,0,0
49,29,20,64,2,17,8,17,7,6,7,14,8,18,18,11,18,11,11,9,0
50,32,3,71,2,17,8,12,10,8,14,9,6,6,12,6,13,6,5,5,6
51,33,9,39,5,7,3,10,6,4,4,8,5,5,6,3,10,9,9,5,9
