ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,19,8,7,1,6,0,0,0,0,0,4,4,4,13,0,0,0,0,0,0
2,8,5,8,5,2,1,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,18,3,33,1,18,13,1,0,0,0,2,3,4,11,5,0,0,0,0,0
4,16,9,3,3,0,0,0,0,0,0,6,6,6,17,8,0,0,0,0,0
5,21,16,41,9,22,10,0,0,0,0,5,3,8,14,9,0,0,0,0,0
6,18,11,61,5,40,16,0,0,0,0,5,-1,9,16,9,0,0,0,0,0
7,20,14,43,9,21,8,5,0,0,0,0,2,5,12,8,0,0,0,0,0
8,14,2,22,1,18,3,0,0,0,0,12,9,10,16,0,0,0,0,0,0
9,19,8,30,2,23,5,0,0,0,0,13,4,11,16,0,0,0,0,0,0
10,41,49,83,11,54,15,3,0,0,0,8,4,6,13,6,2,0,0,0,0
11,17,5,41,11,20,10,0,0,0,0,5,6,6,16,8,0,0,0,0,0
12,30,11,25,1,13,5,6,0,0,0,5,4,4,8,4,0,0,0,0,0
13,14,0,30,4,24,2,0,0,0,0,14,10,10,18,0,0,0,0,0,0
14,16,13,15,2,12,1,0,0,0,0,6,7,8,15,0,0,0,0,0,0
15,17,30,22,1,14,7,0,0,0,0,4,10,10,14,8,0,0,0,0,0
16,29,12,28,1,20,7,0,0,0,0,8,5,5,12,5,0,0,0,0,0
17,24,12,42,1,23,13,5,0,0,0,9,3,4,13,6,0,0,0,0,0
18,25,11,43,5,17,11,10,0,0,0,5,2,2,9,2,0,0,0,0,0
19,16,9,34,2,28,4,0,0,0,0,11,7,11,18,0,0,0,0,0,0
20,15,2,28,4,16,8,0,0,0,0,6,5,3,11,3,0,0,0,0,0
21,18,5,27,1,14,8,4,0,0,0,4,2,2,8,3,0,0,0,0,0
22,25,23,54,2,39,13,0,0,0,0,8,2,5,12,5,0,0,0,0,0
23,17,10,18,9,9,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
24,18,10,14,2,9,2,1,0,0,0,9,2,5,9,7,0,0,0,0,0
25,16,5,17,4,11,2,0,0,0,0,5,10,10,16,0,0,0,0,0,0
26,21,16,57,5,32,13,7,0,0,0,5,9,9,12,5,0,0,0,0,0
27,16,2,2,2,0,0,0,0,0,0,14,11,11,18,0,0,0,0,0,0
28,13,15,26,1,15,10,0,0,0,0,12,6,9,16,9,0,0,0,0,0
29,21,29,30,7,22,1,0,0,0,0,13,10,10,17,0,0,0,0,0,0
30,21,7,20,3,10,7,0,0,0,0,3,5,5,11,5,0,0,0,0,0
31,20,16,50,9,30,11,0,0,0,0,5,6,8,16,0,0,0,0,0,0
32,24,32,8,3,4,1,0,0,0,0,9,4,9,18,9,0,0,0,0,0
33,39,45,23,5,11,6,1,0,0,0,4,5,5,13,7,0,0,0,0,0
34,24,35,8,5,2,1,0,0,0,0,5,3,3,8,3,0,0,0,0,0
35,12,3,13,6,7,0,0,0,0,0,14,17,18,0,0,0,0,0,0,0
36,20,18,31,2,20,4,5,0,0,0,6,2,2,9,-22,-29,0,0,0,0
37,14,1,5,1,4,0,0,0,0,0,8,11,11,11,0,0,0,0,0,0
38,24,14,32,2,17,11,2,0,0,0,6,7,7,15,7,0,0,0,0,0
39,15,0,29,3,17,9,0,0,0,0,7,2,2,12,4,0,0,0,0,0
40,21,26,24,3,13,5,3,0,0,0,6,2,2,12,5,0,0,0,0,0
41,19,13,45,10,30,5,0,0,0,0,0,3,5,14,0,0,0,0,0,0
42,22,27,26,2,15,5,4,0,0,0,5,2,2,9,4,0,0,0,0,0
43,17,20,13,1,8,4,0,0,0,0,9,6,6,14,8,0,0,0,0,0
44,34,40,51,2,33,16,0,0,0,0,11,8,8,15,8,0,0,0,0,0
45,15,0,39,3,34,2,0,0,0,0,2,9,10,17,0,0,0,0,0,0
46,16,3,19,2,9,8,0,0,0,0,8,5,5,15,9,0,0,0,0,0
47,15,5,24,3,18,3,0,0,0,0,7,9,9,16,0,0,0,0,0,0
