ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
73,25,43,61,9,30,13,9,0,0,0,9,5,5,16,8,0,0,0,0,0
74,21,23,28,1,14,8,5,0,0,0,5,4,9,16,8,0,0,0,0,0
75,48,84,36,4,19,3,10,0,0,0,3,2,2,9,2,2,0,0,0,0
76,20,4,34,4,18,9,3,0,0,0,11,7,9,18,11,0,0,0,0,0
77,24,42,48,10,21,9,8,0,0,0,8,7,7,14,8,5,0,0,0,0
78,20,23,45,4,29,10,2,0,0,0,6,10,10,17,10,0,0,0,0,0
79,25,14,49,8,14,16,11,0,0,0,2,9,9,16,8,0,0,0,0,0
80,18,2,34,5,19,6,4,0,0,0,12,5,8,13,10,0,0,0,0,0
81,15,28,78,9,27,24,18,0,0,0,9,6,6,13,6,6,0,0,0,0
82,25,8,72,3,36,28,5,0,0,0,7,6,5,14,9,0,0,0,0,0
83,22,7,39,4,23,11,1,0,0,0,16,13,13,19,15,0,0,0,0,0
84,16,4,30,2,15,4,9,0,0,0,6,2,3,9,1,0,0,0,0,0
85,18,1,28,1,17,7,3,0,0,0,7,4,6,12,5,0,0,0,0,0
86,15,19,65,4,21,20,20,0,0,0,7,4,5,11,3,0,0,0,0,0
87,20,23,45,4,29,10,2,0,0,0,6,10,10,17,10,0,0,0,0,0
88,14,1,40,1,20,10,9,0,0,0,12,4,8,15,9,0,0,0,0,0
89,33,41,41,10,17,8,6,0,0,0,6,5,5,10,5,8,0,0,0,0
90,30,23,55,2,33,10,10,0,0,0,9,9,9,15,8,0,0,0,0,0
91,15,1,14,1,5,2,6,0,0,0,12,8,8,16,8,0,0,0,0,0
92,23,13,43,4,32,7,0,0,0,0,12,7,11,22,0,0,0,0,0,0
93,24,13,14,5,3,4,2,0,0,0,13,9,9,17,11,0,0,0,0,0
94,21,18,37,4,24,6,3,0,0,0,7,4,7,8,9,0,0,0,0,0
95,20,4,33,2,16,8,7,0,0,0,9,4,5,6,7,7,0,0,0,0
96,13,2,25,0,23,2,0,0,0,0,20,13,13,13,0,0,0,0,0,0
97,18,9,4,4,0,0,0,0,0,0,3,10,11,18,0,0,0,0,0,0
98,21,6,22,4,11,2,5,0,0,0,11,2,8,14,9,9,0,0,0,0
99,13,3,31,4,22,4,1,0,0,0,12,10,14,18,0,0,0,0,0,0
100,21,15,16,5,4,1,6,0,0,0,11,5,8,13,8,0,0,0,0,0
101,29,17,68,7,33,17,11,0,0,0,3,4,4,15,8,0,0,0,0,0
102,14,0,22,2,10,5,5,0,0,0,8,4,5,12,5,0,0,0,0,0
103,19,3,41,3,23,6,9,0,0,0,6,5,6,12,10,0,0,0,0,0
104,18,2,53,2,31,12,8,0,0,0,7,5,8,14,10,0,0,0,0,0
105,21,19,38,2,20,10,6,0,0,0,1,8,8,12,6,0,0,0,0,0
106,31,58,51,13,31,7,0,0,0,0,4,10,10,24,0,0,0,0,0,0
107,20,5,31,3,20,7,1,0,0,0,8,7,7,15,9,3,0,0,0,0
108,15,1,45,2,22,12,9,0,0,0,8,4,5,13,5,0,0,0,0,0
109,17,6,45,7,21,11,6,0,0,0,9,5,10,13,11,0,0,0,0,0
110,23,2,38,4,20,6,8,0,0,0,14,5,11,18,10,0,0,0,0,0
