ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
74,-0.765267676,0.44005873,-0.655794345,0.551595921,0.013683717,-0.522154628,0.072252042,1.1053513,1.427983731,1.006724766,-1.353173117,1.106329602,-0.296335051,-0.338008615,0.130825492,-0.807352823,N
77,0.061066325,0.998288092,-1.272492421,-0.381874099,-2.107222855,0.025291456,-0.443833971,-0.428270006,0.128317953,-0.752659793,0.291567688,-0.81772188,-0.556416347,-0.68136829,-0.909473604,-0.807352823,N
78,-1.031827031,1.556517453,-1.209133049,-1.081976615,-4.956575821,-0.509555194,0.536729453,1.498587533,0.460790594,0.972890448,-0.530802714,-0.81772188,1.26415272,4.419975455,-0.996165196,-0.215294086,N
85,-0.20549303,0.041323472,1.008445502,1.018330931,-1.863159958,0.302490842,-1.269571591,-0.860829861,-0.566852114,0.363872716,-0.530802714,0.625316731,-0.556416347,0.054402442,0.217517084,0.968823387,N
90,-1.165106708,1.157782195,-0.938799563,0.784963426,0.391981207,-0.579820756,2.084987491,2.363707244,-0.627301685,-1.666186391,1.113938091,-0.336709009,-0.556416347,-0.43611138,-0.736090422,-0.807352823,N
91,0.274313809,-0.835894096,0.074950742,-1.081976615,0.110745654,-0.563413433,0.897989662,0.358202459,1.186185447,1.209730677,-0.530802714,0.144303861,-0.036253756,-0.338008615,0.650975041,2.744999598,N
92,0.620840971,-0.038423579,0.729664194,-0.381874099,-0.371122117,-0.337709868,0.536729453,0.12226072,-1.262022181,-1.124837296,-0.530802714,-1.29873475,-0.469722582,-0.779471055,-1.082856787,-0.807352823,N
94,-0.098869288,-1.075135251,-0.49528396,-0.381874099,0.16134177,-0.575424148,0.536729453,-0.349622759,-1.231797396,-0.278979335,-0.530802714,-0.336709009,-0.556416347,-0.730419673,-0.822782013,-0.807352823,N
96,2.673348005,-2.191593973,2.854315997,1.718433447,0.284218051,-0.034140026,-0.340616768,-0.860829861,-0.415728186,1.243564995,-0.530802714,1.587342472,1.350846485,3.684204722,1.864657321,1.856911492,N
99,-0.871891418,0.998288092,-0.208054653,-0.848609109,0.399866316,-0.437325564,-0.237399566,-0.388946383,-0.838875184,0.228535442,-0.530802714,0.144303861,-0.122947521,-0.043700322,-0.736090422,0.080735282,N
100,-1.75153729,2.912217331,-1.821607126,-0.381874099,-0.120550876,-0.644174069,-1.063137186,-0.782182615,-0.294829044,-0.278979335,-0.530802714,-0.336709009,-0.556416347,-0.632316908,-0.909473604,-0.511323454,N
102,0.514217229,0.121070524,0.286148413,0.318228416,-0.066857039,0.804005012,0.794772459,0.318878836,1.548882873,-0.955665704,-0.530802714,-0.336709009,-0.296335051,0.741121792,0.044133901,-0.511323454,N
104,0.994024068,-0.676399992,0.771904012,0.318228416,0.114359662,1.597724004,-0.650268376,-0.821506238,0.128317953,0.769884537,1.113938091,0.144303861,-0.383028817,0.593967646,-0.562707239,1.856911492,N
105,-2.791118774,1.795758608,-2.670019485,-1.081976615,-0.120550876,-0.812569583,-0.547051173,-0.939477108,1.09551109,0.499209989,-0.530802714,-0.81772188,-0.296335051,-0.190854469,0.650975041,1.264852756,N
108,-1.911472903,3.151458486,-2.286242638,0.784963426,-0.120550876,-0.812569583,0.072252042,-0.310299136,-0.022805975,2.935280917,-0.530802714,-0.336709009,0.223827539,-0.141803087,0.997741407,2.744999598,N
109,-0.312116772,0.759046937,-0.537523423,1.718433447,-0.062726743,3.597625931,-1.21796299,-0.939477108,0.188767524,0.668381582,0.291567688,0.144303861,-0.556416347,-0.43611138,-0.476015647,-0.215294086,N
