below,current,suggested,delta
avg_time_test,-0.812569583,-0.29639294808,0.5161766349200001
CyberRat Assignments,-0.296335051,-0.19577028407999994,0.10056476692000008
 ReviewedActivities,-0.547051173,-0.34887414463999994,0.19817702836
avg_due,-0.120550876,0.24198599152,0.36253686752000003
num_logins,-2.791118774,0.10798077148000002,2.89909954548
 StudyingSupplementalMaterialActivities,-0.939477108,0.13641722396,1.0758943319599998
act_per_day,-2.670019485,-0.01104921008,2.65897027492
Procedures Quiz,-0.530802714,0.3244625044400001,0.85526521844
Surveys,-0.81772188,-0.06734180196,0.7503800780400001
num_online_meetings,-1.081976615,-0.12050249344000004,0.96147412156
