below,current,suggested,delta
avg_time_test,-0.337709868,-0.29639294808,0.04131691992000003
CyberRat Assignments,-0.469722582,-0.19577028407999994,0.2739522979200001
avg_due,-0.371122117,0.24198599152,0.61310810852
 StudyingSupplementalMaterialActivities,0.12226072,0.13641722396,0.014156503959999997
Unit Discussions paticipation,-0.779471055,-0.25167818263999997,0.52779287236
Crossword paticipation,-0.807352823,-0.34554700796000004,0.46180581503999996
Procedures Quiz,-0.530802714,0.3244625044400001,0.85526521844
Surveys,-1.29873475,-0.06734180196,1.2313929480399999
num_online_meetings,-0.381874099,-0.12050249344000004,0.26137160556
Average number of activites accessed before each test,-1.124837296,-0.21131069792,0.9135265980799999
Fluency Drills paticipation,-1.082856787,-0.10844329980000002,0.9744134872000001
 TotalStudyGuideMaterials,-1.262022181,0.38462413440000004,1.6466463154000002
