below,current,suggested,delta
avg_time_test,-0.522154628,-0.29639294808,0.22576167992
CyberRat Assignments,-0.296335051,-0.19577028407999994,0.10056476692000008
avg_due,0.013683717,0.24198599152,0.22830227452
num_logins,-0.765267676,0.10798077148000002,0.87324844748
Unit Discussions paticipation,-0.338008615,-0.25167818263999997,0.08633043236000004
act_per_day,-0.655794345,-0.01104921008,0.64474513492
Crossword paticipation,-0.807352823,-0.34554700796000004,0.46180581503999996
Procedures Quiz,-1.353173117,0.3244625044400001,1.6776356214400001
