above,current,suggested,delta
CyberRat Assignments,0.223827539,-0.19577028407999994,0.41959782307999993
 ReviewedActivities,-0.082573762,-0.34887414463999994,0.26630038263999994
avg_due,0.725127061,0.24198599152,0.48314106948
 StudyingSupplementalMaterialActivities,2.009794635,0.13641722396,1.8733774110399999
Unit Discussions paticipation,0.054402442,-0.25167818263999997,0.30608062463999997
days_no_activities,1.556517453,-0.17239862616000004,1.7289160791600002
Surveys,0.144303861,-0.06734180196,0.21164566296
Average number of activites accessed before each test,0.093198168,-0.21131069792,0.30450886592000004
