above,current,suggested,delta
avg_due,0.960037599,0.24198599152,0.71805160748
num_logins,0.460905358,0.10798077148000002,0.35292458651999997
Unit Discussions paticipation,-0.092751704,-0.25167818263999997,0.15892647863999998
act_per_day,0.281924679,-0.01104921008,0.29297388908
num_online_meetings,0.084860911,-0.12050249344000004,0.20536340444000004
Fluency Drills paticipation,1.257816181,-0.10844329980000002,1.3662594808
 TotalStudyGuideMaterials,0.400341023,0.38462413440000004,0.01571688859999998
