below,current,suggested,delta
CyberRat Assignments,-0.556416347,-0.19577028407999994,0.36064606292
 ReviewedActivities,-1.21796299,-0.34887414463999994,0.8690888453600001
avg_due,-0.062726743,0.24198599152,0.30471273452000003
num_logins,-0.312116772,0.10798077148000002,0.42009754348
 StudyingSupplementalMaterialActivities,-0.939477108,0.13641722396,1.0758943319599998
Unit Discussions paticipation,-0.43611138,-0.25167818263999997,0.18443319736000002
act_per_day,-0.537523423,-0.01104921008,0.52647421292
Procedures Quiz,0.291567688,0.3244625044400001,0.032894816440000085
Fluency Drills paticipation,-0.476015647,-0.10844329980000002,0.3675723472
 TotalStudyGuideMaterials,0.188767524,0.38462413440000004,0.19585661040000005
