below,current,suggested,delta
avg_time_test,-0.575424148,-0.29639294808,0.27903119992
CyberRat Assignments,-0.556416347,-0.19577028407999994,0.36064606292
avg_due,0.16134177,0.24198599152,0.08064422152
num_logins,-0.098869288,0.10798077148000002,0.20685005948000001
 StudyingSupplementalMaterialActivities,-0.349622759,0.13641722396,0.48603998296
Unit Discussions paticipation,-0.730419673,-0.25167818263999997,0.47874149036
act_per_day,-0.49528396,-0.01104921008,0.48423474992000004
Crossword paticipation,-0.807352823,-0.34554700796000004,0.46180581503999996
Procedures Quiz,-0.530802714,0.3244625044400001,0.85526521844
days_no_activities,-1.075135251,-0.17239862616000004,0.9027366248400001
Surveys,-0.336709009,-0.06734180196,0.26936720704
num_online_meetings,-0.381874099,-0.12050249344000004,0.26137160556
Average number of activites accessed before each test,-0.278979335,-0.21131069792,0.06766863707999998
Fluency Drills paticipation,-0.822782013,-0.10844329980000002,0.7143387132
 TotalStudyGuideMaterials,-1.231797396,0.38462413440000004,1.6164215304
