below,current,suggested,delta
avg_time_test,-0.644174069,-0.29639294808,0.34778112091999996
CyberRat Assignments,-0.556416347,-0.19577028407999994,0.36064606292
 ReviewedActivities,-1.063137186,-0.34887414463999994,0.7142630413600002
avg_due,-0.120550876,0.24198599152,0.36253686752000003
num_logins,-1.75153729,0.10798077148000002,1.85951806148
 StudyingSupplementalMaterialActivities,-0.782182615,0.13641722396,0.91859983896
Unit Discussions paticipation,-0.632316908,-0.25167818263999997,0.38063872536
act_per_day,-1.821607126,-0.01104921008,1.81055791592
Crossword paticipation,-0.511323454,-0.34554700796000004,0.16577644603999997
Procedures Quiz,-0.530802714,0.3244625044400001,0.85526521844
Surveys,-0.336709009,-0.06734180196,0.26936720704
num_online_meetings,-0.381874099,-0.12050249344000004,0.26137160556
Average number of activites accessed before each test,-0.278979335,-0.21131069792,0.06766863707999998
Fluency Drills paticipation,-0.909473604,-0.10844329980000002,0.8010303042
 TotalStudyGuideMaterials,-0.294829044,0.38462413440000004,0.6794531784
