above,current,suggested,delta
avg_time_test,-0.165287568,-0.29639294808,0.13110538008
CyberRat Assignments,-0.036253756,-0.19577028407999994,0.15951652807999994
avg_due,0.631162846,0.24198599152,0.38917685448000006
num_logins,1.313895294,0.10798077148000002,1.2059145225199999
act_per_day,0.68742473,-0.01104921008,0.6984739400800001
Crossword paticipation,0.376764651,-0.34554700796000004,0.72231165896
Surveys,0.144303861,-0.06734180196,0.21164566296
num_online_meetings,1.251698437,-0.12050249344000004,1.37220093044
Average number of activites accessed before each test,-0.109807743,-0.21131069792,0.10150295492000001
Fluency Drills paticipation,0.737666632,-0.10844329980000002,0.8461099318
 TotalStudyGuideMaterials,1.216410232,0.38462413440000004,0.8317860976
