above,current,suggested,delta
CyberRat Assignments,0.483908834,-0.19577028407999994,0.6796791180799999
Unit Discussions paticipation,-0.190854469,-0.25167818263999997,0.06082371363999997
Crossword paticipation,-0.215294086,-0.34554700796000004,0.13025292196000005
Procedures Quiz,3.581049299,0.3244625044400001,3.25658679456
Surveys,0.625316731,-0.06734180196,0.6926585329599999
num_online_meetings,0.084860911,-0.12050249344000004,0.20536340444000004
 TotalStudyGuideMaterials,0.430565808,0.38462413440000004,0.045941673599999955
