below,current,suggested,delta
avg_time_test,-0.437325564,-0.29639294808,0.14093261592
num_logins,-0.871891418,0.10798077148000002,0.97987218948
 StudyingSupplementalMaterialActivities,-0.388946383,0.13641722396,0.5253636069600001
act_per_day,-0.208054653,-0.01104921008,0.19700544292
Procedures Quiz,-0.530802714,0.3244625044400001,0.85526521844
num_online_meetings,-0.848609109,-0.12050249344000004,0.7281066155599999
Fluency Drills paticipation,-0.736090422,-0.10844329980000002,0.6276471222
 TotalStudyGuideMaterials,-0.838875184,0.38462413440000004,1.2234993184
