below,current,suggested,delta
CyberRat Assignments,-0.556416347,-0.19577028407999994,0.36064606292
 ReviewedActivities,-0.443833971,-0.34887414463999994,0.09495982636000005
avg_due,-2.107222855,0.24198599152,2.34920884652
num_logins,0.061066325,0.10798077148000002,0.04691444648000002
 StudyingSupplementalMaterialActivities,-0.428270006,0.13641722396,0.56468722996
Unit Discussions paticipation,-0.68136829,-0.25167818263999997,0.42969010736
act_per_day,-1.272492421,-0.01104921008,1.26144321092
Crossword paticipation,-0.807352823,-0.34554700796000004,0.46180581503999996
Procedures Quiz,0.291567688,0.3244625044400001,0.032894816440000085
Surveys,-0.81772188,-0.06734180196,0.7503800780400001
num_online_meetings,-0.381874099,-0.12050249344000004,0.26137160556
Average number of activites accessed before each test,-0.752659793,-0.21131069792,0.54134909508
Fluency Drills paticipation,-0.909473604,-0.10844329980000002,0.8010303042
 TotalStudyGuideMaterials,0.128317953,0.38462413440000004,0.25630618140000005
