"ID","Number of ASRs"
"1","3"
"2","3"
"3","3"
"4","3"
"5","3"
"6","4"
"7","3"
"8","2"
"9","4"
"10","3"
"11","4"
"12","3"
"13","4"
"14","4"
"15","3"
"16","4"
"17","3"
"18","3"
"19","3"
"20","3"
"21","4"
"22","3"
"23","3"
"24","3"
"25","1"
"26","4"
"27","4"
"28","3"
"29","3"
"30","4"
"31","4"
"32","3"
"33","3"
"34","3"
"35","3"
"36","3"
"37","2"
"38","3"
"39","3"
"40","4"
"41","3"
"42","3"
"43","3"
"44","3"
"45","3"
"46","3"
"47","4"
"48","3"
"49","3"
"50","3"
"51","3"
"52","3"
"53","3"
"54","3"
"55","3"
"56","4"
"57","3"
"58","3"
"59","3"
"60","3"
"61","3"
"62","3"
"63","3"
"64","3"
"65","1"
"66","4"
"67","3"
"68","4"
"69","3"
"70","3"
"71","3"
"72","3"
"73","3"
"74","3"
"75","4"
"76","1"
"77","3"
"78","3"
"79","3"
"80","3"
"81","3"
"82","3"
"83","3"
"84","3"
"85","3"
"86","3"
"87","3"
"88","3"
"89","3"
"90","3"
"91","3"
"92","3"
"93","3"
"94","3"
"95","4"
"96","3"
"97","4"
"98","3"
"99","1"
"100","4"
"101","3"
"102","3"
"103","3"
"104","3"
"105","4"
"106","3"
"107","0"
"108","3"
"109","3"
"110","3"
