"ID","Number of ASRs"
"1","5"
"2","5"
"3","5"
"4","5"
"5","5"
"6","6"
"7","5"
"8","4"
"9","5"
"10","5"
"11","6"
"12","5"
"13","6"
"14","5"
"15","5"
"16","5"
"17","5"
"18","5"
"19","5"
"20","6"
"21","5"
"22","5"
"23","5"
"24","5"
"25","4"
"26","6"
"27","5"
"28","6"
"29","5"
"30","6"
"31","6"
"32","5"
"33","5"
"34","5"
"35","5"
"36","4"
"37","5"
"38","5"
"39","5"
"40","6"
"41","6"
"42","5"
"43","5"
"44","6"
"45","5"
"46","5"
"47","6"
"48","5"
"49","5"
"50","5"
"51","6"
"52","5"
"53","5"
"54","5"
"55","5"
"56","5"
"57","5"
"58","5"
"59","6"
"60","6"
"61","5"
"62","5"
"63","5"
"64","5"
"65","5"
"66","6"
"67","5"
"68","5"
"69","5"
"70","5"
"71","5"
"72","4"
"73","5"
"74","5"
"75","6"
"76","5"
"77","4"
"78","5"
"79","5"
"80","5"
"81","5"
"82","5"
"83","5"
"84","5"
"85","5"
"86","5"
"87","5"
"88","5"
"89","5"
"90","5"
"91","5"
"92","6"
"93","5"
"94","5"
"95","6"
"96","5"
"97","6"
"98","5"
"99","1"
"100","6"
"101","5"
"102","5"
"103","5"
"104","5"
"105","5"
"106","5"
"107","0"
"108","5"
"109","6"
"110","5"
