"ID","ASR#1 Time","ASR#2A Time","ASR#2B Time","ASR#2C Time","ASR#3 Time","ASR#4 Time","ASR#5 Time","ASR#6 Time","ASR#7A Time","ASR#7B Time"
"1","2","2","2","1","9","2","1","3","2","2"
"2","3","1","2","2","3","3","2","2","1","1"
"3","9","0","2","2","5","4","2","3","2","2"
"4","4","1","66","1","2","4","1","12","21","21"
"5","6","3","5","7","7","13","7","10","6","6"
"6","0","1","4","2","6","8","3","4","4","4"
"7","2","2","3","2","2","6","3","4","2","2"
"8","3","1","3","2","3","5","2","2","1","1"
"9","3","1","2","2","2","3","1","3","3","3"
"10","6","1","2","4","5","6","3","7","3","3"
"11","3","1","2","1","3","6","2","3","1","1"
"12","3","1","4","1","6","5","4","3","4","4"
"13","6","1","9","2","3","5","2","3","2","2"
"14","9","1","2","2","3","9","5","3","4","4"
"15","2","0","2","1","2","4","2","3","3","3"
"16","1","0","2","1","1","3","1","1","2","2"
"17","2","1","2","1","3","0","1","2","1","1"
"18","3","1","2","1","3","5","2","3","2","2"
"19","3","1","4","3","4","7","3","5","4","4"
"20","2","1","2","1","2","4","4","3","2","2"
"21","3","1","2","1","5","3","1","2","1","1"
"22","1","1","1","2","2","2","0","1","2","2"
"23","3","0","1","2","1","4","1","3","2","2"
"24","5","1","3","2","4","15","2","4","2","2"
"25","4","2","8","3","4","6","3","11","3","3"
"26","33","2","4","2","6","2","3","5","3","3"
"27","2","0","1","2","2","4","2","2","1","1"
"28","7","2","7","3","12","0","8","6","6","6"
"29","2","2","11","7","1","12","10","6","6","6"
"30","3","1","2","2","2","3","2","2","2","2"
"31","1","0","2","2","4","4","3","2","1","1"
"32","4","1","1","1","2","4","7","3","2","2"
"33","5","1","2","3","3","4","2","3","3","3"
"34","16","1","5","2","3","3","2","3","1","1"
"35","4","1","3","3","3","4","2","3","2","2"
"36","4","1","3","2","2","3","3","5","2","2"
"37","4","2","3","3","5","18","5","7","4","4"
"38","3","2","5","1","2","5","2","2","2","2"
"39","2","1","2","1","2","2","1","2","2","2"
"40","3","0","3","2","4","4","0","4","2","2"
"41","1","1","2","1","1","1","4","2","8","8"
"42","18","1","1","1","2","3","1","3","2","2"
"43","5","2","3","3","4","4","2","4","1","1"
"44","8","3","7","2","0","3","3","4","0","0"
"45","6","1","5","2","9","6","3","3","2","2"
"46","3","1","6","3","4","10","3","5","2","2"
"47","2","1","3","0","4","6","3","3","3","3"
"48","3","1","6","11","3","6","3","5","4","4"
"49","2","1","2","2","2","11","5","5","5","5"
"50","1","1","0","2","1","3","1","2","2","2"
"51","3","1","2","2","6","4","3","2","2","2"
"52","4","1","52","3","4","9","2","6","2","2"
"53","5","1","1","2","2","3","2","2","1","1"
"54","18","3","8","5","9","10","4","7","3","3"
"55","5","2","6","1","7","12","5","6","8","8"
"56","5","1","2","3","6","12","0","4","6","6"
"57","2","1","1","2","2","0","1","2","0","0"
"58","1","1","1","2","2","4","1","2","1","1"
"59","4","1","2","1","1","4","1","2","1","1"
"60","7","2","7","6","11","8","7","6","5","5"
"61","3","1","3","2","2","4","1","3","2","2"
"62","5","1","3","2","3","4","2","3","2","2"
"63","7","2","6","4","5","7","2","5","3","3"
"64","12","1","83","5","2","3","1","2","1","1"
"65","3","1","1","1","2","2","1","1","1","1"
"66","3","2","3","52","2","2","12","2","2","2"
"67","4","1","3","2","3","5","2","2","2","2"
"68","2","1","2","2","2","3","2","3","3","3"
"69","2","0","2","1","1","3","1","2","1","1"
"70","4","1","2","2","3","4","7","3","4","4"
"71","4","1","5","5","3","6","6","5","4","4"
"72","2","1","2","2","2","3","19","2","0","0"
"73","3","1","2","1","3","3","1","3","1","1"
"74","5","4","9","8","10","17","6","9","5","5"
"75","2","2","2","1","2","2","1","2","2","2"
"76","4","2","6","3","6","8","0","0","0","0"
"77","2","1","2","1","2","2","1","2","1","1"
"78","2","1","3","2","2","2","2","3","2","2"
"79","5","1","4","3","4","6","4","7","4","4"
"80","2","1","1","2","1","6","1","1","1","1"
"81","4","2","5","3","12","8","6","5","4","4"
"82","2","2","2","7","3","5","3","10","3","3"
"83","4","1","3","9","6","3","3","2","1","1"
"84","8","2","6","3","11","14","15","0","0","0"
"85","4","1","3","2","3","4","2","2","2","2"
"86","2","1","3","1","2","3","1","4","1","1"
"87","2","0","1","2","1","2","1","2","2","2"
"88","2","1","1","2","2","2","1","4","1","1"
"89","4","2","10","4","3","8","2","8","3","3"
"90","3","1","3","2","3","4","3","2","2","2"
"91","4","1","4","3","10","8","1","0","3","3"
"92","4","1","3","2","3","8","3","22","4","4"
"93","2","1","2","1","1","3","2","2","2","2"
"94","2","0","2","1","2","2","2","1","1","1"
"95","20","6","12","4","9","19","6","14","3","3"
"96","13","2","8","5","8","15","6","46","5","5"
"97","2","1","3","3","5","2","7","1","2","2"
"98","20","2","21","5","11","13","3","5","3","3"
"99","2","0","0","0","0","0","0","0","0","0"
"100","3","1","3","2","4","8","3","4","3","3"
"101","11","1","10","5","9","9","4","5","4","4"
"102","5","0","2","1","3","6","2","3","1","1"
"103","4","1","1","2","4","5","2","4","4","4"
"104","1","1","1","0","2","2","2","1","1","1"
"105","6","1","4","2","4","12","3","4","5","5"
"106","3","1","3","2","2","8","2","3","3","3"
"107","0","0","0","0","0","0","0","0","0","0"
"108","3","1","5","4","6","7","4","4","4","4"
"109","6","1","4","4","7","11","5","8","6","6"
"110","1","1","2","1","2","4","2","3","2","2"
