"ID","Number of ASRs"
"1","2"
"2","1"
"3","3"
"4","1"
"5","1"
"6","3"
"7","1"
"8","0"
"9","3"
"10","1"
"11","3"
"12","1"
"13","1"
"14","3"
"15","2"
"16","2"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","2"
"24","1"
"25","0"
"26","3"
"27","1"
"28","1"
"29","3"
"30","3"
"31","3"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","3"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","2"
"47","3"
"48","1"
"49","1"
"50","1"
"51","3"
"52","2"
"53","1"
"54","1"
"55","1"
"56","3"
"57","1"
"58","2"
"59","1"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","0"
"66","3"
"67","2"
"68","2"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","2"
"76","0"
"77","1"
"78","2"
"79","2"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","1"
"86","2"
"87","1"
"88","1"
"89","1"
"90","2"
"91","1"
"92","1"
"93","1"
"94","2"
"95","2"
"96","1"
"97","3"
"98","1"
"99","1"
"100","3"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","0"
"108","1"
"109","1"
"110","2"
