"ID","Number of ASRs"
"1","7"
"2","7"
"3","7"
"4","7"
"5","7"
"6","8"
"7","7"
"8","5"
"9","8"
"10","7"
"11","8"
"12","7"
"13","7"
"14","8"
"15","7"
"16","7"
"17","7"
"18","7"
"19","7"
"20","7"
"21","7"
"22","7"
"23","7"
"24","7"
"25","5"
"26","8"
"27","7"
"28","7"
"29","7"
"30","8"
"31","8"
"32","7"
"33","7"
"34","7"
"35","7"
"36","4"
"37","7"
"38","7"
"39","7"
"40","8"
"41","8"
"42","7"
"43","7"
"44","8"
"45","7"
"46","7"
"47","7"
"48","7"
"49","7"
"50","7"
"51","7"
"52","8"
"53","7"
"54","7"
"55","7"
"56","7"
"57","7"
"58","7"
"59","8"
"60","7"
"61","7"
"62","7"
"63","7"
"64","7"
"65","7"
"66","8"
"67","7"
"68","8"
"69","7"
"70","7"
"71","7"
"72","5"
"73","7"
"74","7"
"75","7"
"76","6"
"77","7"
"78","7"
"79","7"
"80","7"
"81","7"
"82","7"
"83","7"
"84","6"
"85","7"
"86","7"
"87","7"
"88","7"
"89","7"
"90","7"
"91","7"
"92","8"
"93","7"
"94","7"
"95","8"
"96","6"
"97","8"
"98","7"
"99","1"
"100","8"
"101","7"
"102","7"
"103","7"
"104","7"
"105","8"
"106","7"
"107","0"
"108","7"
"109","8"
"110","7"
