"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"41","10","9.142857142857142","78","11.533333333333333","-","20.2","-","15.0","-","-","-","-","-","-","-","-","-","-","-","15.577777777777778"
"42","12","7.857142857142857","71","27.416666666666668","-","46.81666666666667","24.916666666666668","-","-","-","-","-","-","-","-","-","-","-","-","33.050000000000004"
"43","18","7.178571428571429","119","13.333333333333334","11.816666666666666","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.575"
"44","13","9.285714285714286","136","18.6","15.833333333333334","30.866666666666667","27.5","21.083333333333332","13.25","-","-","-","-","-","-","-","-","-","-","21.18888888888889"
"45","13","8.214285714285714","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","-","-","-","-","-","-","-","-","-","-","-","20.509999999999998"
"46","11","7.392857142857143","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","13.133333333333333","-","-","-","-","-","-","-","-","-","-","-","15.039999999999997"
"47","6","17.178571428571427","157","19.966666666666665","-","32.75","26.066666666666666","23.583333333333332","13.75","-","-","-","-","-","-","-","-","-","-","23.223333333333333"
"48","16","8.035714285714286","52","36.083333333333336","24.683333333333334","63.21666666666667","-","53.81666666666667","-","-","-","-","-","-","-","-","-","-","-","44.45"
"49","15","9.071428571428571","55","13.683333333333334","14.3","24.133333333333333","20.216666666666665","13.383333333333333","-","-","-","-","-","-","-","-","-","-","-","17.143333333333334"
"50","13","11.321428571428571","89","20.366666666666667","-","30.183333333333334","-","15.85","-","-","-","-","-","-","-","-","-","-","-","22.13333333333333"
"51","11","13.357142857142858","157","49.733333333333334","19.833333333333332","63.81666666666667","64.35","-","-","-","-","-","-","-","-","-","-","-","-","49.43333333333333"
"52","9","10.464285714285714","148","27.483333333333334","30.866666666666667","42.15","39.53333333333333","41.13333333333333","-","-","-","-","-","-","-","-","-","-","-","36.233333333333334"
"53","8","15.857142857142858","138","21.283333333333335","13.866666666666667","35.3","60.05","30.233333333333334","-","-","-","-","-","-","-","-","-","-","-","32.14666666666667"
"54","8","10.107142857142858","88","12.15","-","21.916666666666668","21.166666666666668","15.316666666666666","-","-","-","-","-","-","-","-","-","-","-","17.6375"
"55","4","11.857142857142858","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","73.33333333333333","38.53333333333333","-","-","-","-","-","-","-","-","-","-","49.91388888888889"
"56","4","13.464285714285714","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","-","-","-","-","-","-","-","-","-","-","-","49.44666666666667"
"57","11","8.035714285714286","112","43.7","27.883333333333333","37.68333333333333","-","-","-","-","-","-","-","-","-","-","-","-","-","36.422222222222224"
"58","7","10.75","121","15.066666666666666","14.716666666666667","19.583333333333332","18.45","-","-","-","-","-","-","-","-","-","-","-","-","16.954166666666666"
"59","16","8.535714285714286","70","33.38333333333333","17.983333333333334","41.38333333333333","44.06666666666667","38.55","-","-","-","-","-","-","-","-","-","-","-","35.07333333333334"
"60","7","11.892857142857142","137","19.15","24.6","26.4","30.083333333333332","30.9","-","-","-","-","-","-","-","-","-","-","-","26.226666666666667"
"61","8","10.928571428571429","158","25.95","15.1","1329.8","23.066666666666666","-","-","-","-","-","-","-","-","-","-","-","-","348.47916666666663"
"62","3","18.857142857142858","183","45.36666666666667","63.1","1391.2166666666667","65.81666666666666","33.233333333333334","21.05","-","-","-","-","-","-","-","-","-","-","269.9638888888889"
"63","13","9.642857142857142","95","18.533333333333335","-","29.8","-","18.35","13.85","-","-","-","-","-","-","-","-","-","-","20.133333333333333"
"64","6","13.035714285714286","103","56.81666666666667","52.4","87.73333333333333","75.45","48.6","33.1","-","-","-","-","-","-","-","-","-","-","59.01666666666667"
"65","11","16.071428571428573","122","36.75","-","37.03333333333333","-","28.083333333333332","-","-","-","-","-","-","-","-","-","-","-","33.955555555555556"
"66","8","11.642857142857142","94","18.35","13.7","28.6","31.933333333333334","15.716666666666667","-","-","-","-","-","-","-","-","-","-","-","21.66"
"67","2","18.428571428571427","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","-","-","-","-","-","-","-","-","-","-","32.01111111111111"
"68","7","7.964285714285714","88","29.1","17.083333333333332","40.833333333333336","-","-","-","-","-","-","-","-","-","-","-","-","-","29.00555555555556"
"69","4","17.678571428571427","198","22.266666666666666","-","33.96666666666667","-","14.733333333333333","15.333333333333334","-","-","-","-","-","-","-","-","-","-","21.575"
"70","9","11.392857142857142","99","28.283333333333335","17.933333333333334","50.266666666666666","30.516666666666666","44.1","-","-","-","-","-","-","-","-","-","-","-","34.22"
"71","12","9.428571428571429","106","16.566666666666666","18.133333333333333","31.733333333333334","23.583333333333332","-","-","-","-","-","-","-","-","-","-","-","-","22.504166666666666"
"72","6","16.107142857142858","182","81.56666666666666","-","93.51666666666667","-","93.26666666666667","-","-","-","-","-","-","-","-","-","-","-","89.44999999999999"
"73","8","12.678571428571429","119","25.266666666666666","19.6","34.65","-","24.966666666666665","-","-","-","-","-","-","-","-","-","-","-","26.120833333333334"
"74","18","8.142857142857142","90","-","51.1","-","41.1","-","-","-","-","-","-","-","-","-","-","-","-","46.1"
"75","12","8.642857142857142","83","38.266666666666666","-","48.88333333333333","-","44.516666666666666","-","-","-","-","-","-","-","-","-","-","-","43.88888888888889"
"76","11","8.107142857142858","90","17.1","17.333333333333332","30.083333333333332","19.866666666666667","10.783333333333333","21.5","-","-","-","-","-","-","-","-","-","-","19.444444444444443"
