"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes",Grade,Above Average
"1","10","8.904762268066406","72","16.633333333333333","11.966666666666667","18.733333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9583333333333335",1000.79,Y
"2","17","5.5714287757873535","33","21.216666666666665","16.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3322916666666664",957.03,Y
"3","8","8.285714149475098","91","25.033333333333335","18.066666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.69375",900.63,N
"4","9","9.380952835083008","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","0","0","0","0","0","0","0","0","0","0","0","0","5.329166666666667",897.75,N
"5","3","14.666666984558105","133","26.8","19.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.865625",922.97,Y
"6","2","19.66666603088379","194","40.35","32.733333333333334","39.63333333333333","26.15","0","0","0","0","0","0","0","0","0","0","0","0","8.679166666666667",909.7,N
"7","9","13.714285850524902","130","9.0","0","16.216666666666665","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5760416666666666",907.63,N
"8","12","11.095237731933594","86","0","11.316666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7072916666666667",912.36,N
"9","5","10.476190567016602","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","0","0","0","0","0","0","0","0","0","0","0","0","4.570833333333333",968.59,Y
"11","4","16.095237731933594","135","27.75","18.816666666666666","53.68333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","6.265625",974.05,Y
"12","5","14.904762268066406","84","24.516666666666666","15.383333333333333","22.45","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8968749999999996",1005.31,Y
"13","8","11.2380952835083","113","16.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0114583333333333",975.5,Y
"14","9","9.714285850524902","78","32.166666666666664","0","1396.9166666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","89.31770833333334",990.02,Y
"15","10","9.380952835083008","65","19.816666666666666","9.1","23.4","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2697916666666664",983.5,Y
"16","6","14.952381134033203","123","16.55","21.883333333333333","22.8","15.616666666666667","0","0","0","0","0","0","0","0","0","0","0","0","4.803125",1033.02,Y
"17","6","10.571428298950195","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","0","0","0","0","0","0","0","0","0","0","0","0","3.280208333333334",962.91,Y
"18","12","8.571428298950195","65","17.433333333333334","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1333333333333333",840.61,N
"19","7","17.380952835083008","124","32.083333333333336","0","25.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5791666666666666",995.77,Y
"20","9","9.857142448425293","75","24.3","13.716666666666667","28.3","0","0","0","0","0","0","0","0","0","0","0","0","0","4.144791666666666",921.83,N
"21","13","10.428571701049805","80","20.35","25.133333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8427083333333334",872.18,N
"22","4","11.619047164916992","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","0","0","0","0","0","0","0","0","0","0","0","0","5.70625",986.94,Y
"23","5","13.2380952835083","99","20.233333333333334","9.85","23.766666666666666","20.4","0","0","0","0","0","0","0","0","0","0","0","0","4.640625",974.75,Y
"24","11","11.714285850524902","65","17.95","13.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.965625",940.63,Y
"25","3","19.571428298950195","135","15.716666666666667","25.65","37.8","0","0","0","0","0","0","0","0","0","0","0","0","0","4.947916666666666",1001.2,Y
"26","13","6.333333492279053","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0",801.57,N
"27","6","16.714284896850586","142","66.61666666666666","0","119.9","76.7","0","0","0","0","0","0","0","0","0","0","0","0","16.451041666666665",946.68,Y
"28","11","5.0","52","27.8","27.016666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4260416666666664",822.24,N
"29","6","11.333333015441895","142","22.9","34.083333333333336","44.11666666666667","50.7","0","0","0","0","0","0","0","0","0","0","0","0","9.4875",857.44,N
"30","2","15.142857551574707","124","33.8","25.866666666666667","50.38333333333333","45.5","0","0","0","0","0","0","0","0","0","0","0","0","9.721875",980.46,Y
"31","6","15.571428298950195","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","0","0","0","0","0","0","0","0","0","0","0","0","3.7010416666666663",1001.46,Y
