ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,33,11,9.428571701,3,3.333333333,75.51944444,19,8,7,27,2,2,18,3,4,1,Y
2,10,23,5.142857075,3,0,26.775,8,5,6,35,6,9,4,12,4,1,Y
3,32,10,8.25,1,1,26.225,16,2,20,38,3,3,1,25,4,2,N
4,27,13,8.214285851,5,3.166666667,21.23666667,10,4,3,34,4,2,0,1,0,0,N
5,59,4,13.46428585,0,0.4,50.49666667,19,16,31,32,2,2,0,2,0,2,Y
6,57,2,18.4285717,0,2.833333333,32.56111111,15,9,45,41,2,11,5,8,3,0,N
7,45,13,12.4285717,0,1,27.92777778,16,11,31,0,0,0,0,0,0,0,N
8,37,14,10.89285755,4,-2.5,708.15,11,2,19,38,3,3,0,2,8,1,N
9,41,8,9.392857552,6,2.6,17.94333333,16,8,25,31,3,3,2,9,6,4,Y
11,57,6,14.10714245,0,0.75,42.275,30,36,67,0,3,6,0,4,0,0,Y
12,36,8,13.5714283,2,3.4,20.44333333,14,4,30,29,2,2,3,3,0,0,Y
13,40,12,10.46428585,5,0.666666667,20.96111111,24,9,17,47,2,3,4,51,3,2,Y
14,29,13,8.821428299,5,1.666666667,486.2277778,11,0,25,47,2,3,0,14,7,2,Y
15,28,14,9.035714149,1,1.5,17.10833333,15,13,14,32,2,2,2,2,5,2,Y
16,43,7,14.1785717,2,2.333333333,18.00833333,13,24,14,39,3,3,1,3,7,3,Y
17,34,10,8.964285851,1,3,100.9888889,26,10,21,38,2,4,2,7,2,4,Y
18,20,16,7.607142925,0,1,52.99444444,18,9,26,28,2,2,0,2,0,2,N
19,45,8,15.8214283,8,1.666666667,29.06666667,21,11,30,25,3,2,0,7,6,0,Y
20,30,12,8.821428299,5,0.75,28.80833333,12,7,20,42,2,2,7,24,4,2,N
21,16,18,10.75,0,0.25,28.04166667,13,2,20,28,2,2,0,9,5,1,N
22,34,8,10.0714283,3,3,19.63888889,15,4,18,28,3,2,3,0,2,2,Y
23,40,6,12.21428585,2,2,254.9583333,19,20,41,52,3,4,6,29,4,3,Y
24,20,16,10,6,0.25,22.95833333,17,10,18,21,2,2,0,1,1,1,Y
25,61,4,18.9285717,4,3.2,47.11333333,16,10,12,29,3,3,0,2,0,2,Y
26,29,16,6.571428776,1,-7,1412.45,14,5,17,37,7,4,0,10,4,3,N
27,43,8,14.25,3,2.4,89.23333333,18,15,43,32,2,2,3,9,2,1,Y
28,23,16,5.357142925,0,0.25,43.98333333,13,2,2,35,2,2,0,10,4,2,N
29,54,7,11.71428585,0,2,36.69444444,10,15,16,39,4,2,1,14,7,3,N
30,66,4,12.96428585,3,3,37.01666667,16,22,23,57,2,4,26,42,13,8,Y
31,35,8,14.96428585,6,3.4,31.26333333,16,5,13,24,3,3,0,8,2,0,Y
32,46,3,11.78571415,2,1.8,20.82333333,18,14,39,38,3,8,1,7,5,2,Y
33,30,13,9.321428299,0,1.4,22.76111111,18,21,7,19,1,3,0,0,0,0,Y
34,64,8,16.3571434,2,1.6,30.79,28,38,21,32,4,4,0,2,3,2,N
35,24,18,6.857142925,3,2.333333333,21.95,20,32,7,26,2,3,0,1,0,0,N
36,34,10,9.142857552,1,1,16.87222222,9,3,8,42,3,6,6,8,5,4,N
37,25,12,7.857142925,7,0.75,33.85555556,17,16,26,45,3,3,7,21,5,2,N
38,28,18,7.178571224,2,-0.5,16.46666667,12,0,4,37,2,3,1,7,2,1,N
39,43,13,9.285714149,2,1.166666667,21.99444444,17,11,23,31,2,3,0,15,5,1,Y
40,27,11,7.392857075,0,2.4,16.27333333,12,0,24,47,2,2,8,8,13,3,Y
41,68,6,17.1785717,5,3.6,23.86,17,26,18,24,2,2,0,1,0,0,Y
42,15,16,8.035714149,6,1.25,151.8458333,19,12,40,31,3,5,0,3,2,2,N
43,20,15,9.071428299,1,0.4,17.48333333,17,21,17,27,3,4,0,2,0,0,N
44,38,13,11.3214283,2,1,34.60555556,13,14,9,25,1,2,1,1,2,1,Y
45,45,11,13.35714245,4,0.25,66,27,27,35,28,3,3,0,2,1,1,N
46,51,9,10.46428585,4,0.6,38.89666667,13,0,28,27,3,3,0,2,0,0,Y
47,48,8,15.85714245,5,0.8,33.05666667,13,3,12,23,2,4,0,1,0,0,Y
48,34,8,10.10714245,3,3,18.14166667,11,4,19,46,2,2,6,36,4,4,N
49,41,4,11.85714245,2,2.333333333,51.23333333,10,0,23,27,3,3,6,5,1,1,Y
50,38,11,8.035714149,3,-0.25,36.56666667,8,10,15,29,2,3,2,2,3,0,N
51,53,7,10.75,8,0,17.44166667,11,2,19,35,3,3,6,13,7,3,Y
52,25,16,8.535714149,1,2.166666667,37.42333333,15,3,11,44,2,3,0,0,7,3,N
53,45,7,11.89285755,4,1.4,29.19333333,15,1,12,32,3,3,1,2,2,1,N
54,53,8,10.9285717,1,0.25,349.7125,16,15,46,48,4,4,22,15,3,1,N
55,75,3,18.8571434,10,1.166666667,270.4472222,14,4,16,26,3,3,5,2,7,1,N
56,28,13,9.642857552,0,0,20.52916667,14,9,15,35,3,3,1,7,0,1,Y
57,43,6,13.03571415,11,1.5,79.34166667,11,6,18,45,4,3,3,8,2,0,N
58,44,11,16.0714283,4,2.333333333,36.06666667,20,15,8,29,0,4,1,4,2,1,Y
59,38,8,11.64285755,4,1,22.09666667,17,12,35,39,3,3,5,7,0,0,N
60,29,7,7.964285851,3,0.666666667,29.52222222,16,3,25,25,2,2,0,9,0,1,N
61,66,4,17.6785717,5,2.6,124.375,24,11,32,36,0,4,4,15,5,1,N
62,35,9,11.39285755,0,0.6,34.54333333,18,7,22,36,5,3,2,7,1,0,Y
63,43,12,9.428571701,3,1.5,23.0875,15,1,30,54,2,2,2,17,8,3,N
64,61,6,16.1071434,5,2.666666667,90.52777778,13,3,23,31,3,4,1,8,3,2,N
65,44,8,12.6785717,3,1.5,27.25833333,14,6,19,35,3,2,0,19,1,0,N
66,25,18,8.142857552,5,-3.5,47.26666667,10,5,17,51,2,4,0,14,11,1,N
67,35,12,8.642857552,6,3.666666667,45.01666667,14,10,8,38,2,2,5,17,4,1,Y
68,34,11,8.107142448,4,2.333333333,21.85555556,16,10,22,53,2,5,2,18,14,7,N
69,50,4,13.5,4,3.4,294.4766667,16,11,39,28,2,2,0,1,1,0,Y
70,33,7,7.785714149,0,0.75,17.05555556,17,1,29,46,2,8,33,23,9,5,Y
71,79,1,17.6071434,0,1.333333333,22.78333333,20,22,43,39,5,3,0,10,5,1,Y
72,39,7,9,0,1,26.95555556,14,10,19,32,2,2,0,0,1,0,Y
73,45,4,12.14285755,4,0,21.71111111,21,10,23,57,5,8,1,4,4,1,N
74,28,13,8.392857552,7,0.8,25.29666667,21,34,40,39,1,6,0,5,3,0,N
75,32,12,11.0714283,0,2.5,38.15,15,16,16,30,2,2,2,2,1,0,Y
76,40,7,10.5,5,3.666666667,10.925,35,56,26,25,3,4,0,1,1,1,Y
77,42,15,8.714285851,3,-4.25,44.85833333,14,4,20,25,3,2,0,2,2,0,N
78,27,17,7,0,0.5,40.2,16,29,31,31,2,2,7,39,0,2,N
79,36,8,10.21428585,5,1.833333333,17.77777778,13,20,29,39,2,3,2,9,2,2,Y
80,45,11,12.5714283,1,0.5,50.79166667,18,9,22,24,3,3,0,1,0,0,N
81,19,16,6.321428776,0,2.25,17.05,14,2,24,52,4,4,9,25,8,2,N
82,38,10,11.0714283,3,1.833333333,25.56388889,12,21,36,31,3,2,3,3,0,0,N
83,30,10,8.928571701,1,3,478.2166667,19,5,39,44,2,4,0,3,3,2,Y
84,37,7,12.75,0,1,30.26666667,14,5,25,29,2,2,0,0,6,2,Y
85,46,9,20.1428566,5,-1.75,87.56666667,13,4,21,37,2,5,0,8,3,2,N
86,31,12,10.1785717,1,2.333333333,30.65833333,12,0,18,33,3,2,0,2,4,1,N
87,38,7,9.5,4,1.75,17.9125,13,12,37,35,7,8,0,6,0,2,Y
88,46,7,10.89285755,0,0,27.80555556,13,20,29,28,4,3,1,3,7,1,N
89,27,11,8.071428299,2,0,25.08333333,10,1,22,33,7,4,10,11,0,0,Y
90,35,12,8.75,3,0.25,20.35833333,28,28,27,43,4,4,0,5,1,0,Y
91,38,8,12.25,0,0.4,20.33666667,23,20,36,44,2,3,0,7,6,3,Y
92,40,9,14.25,2,0.75,41.29166667,12,0,6,20,2,2,1,0,0,0,N
93,38,9,11.78571415,2,2.75,30.30555556,20,11,32,37,3,3,2,8,2,1,Y
94,37,4,7.464285851,2,1.166666667,23.96666667,16,8,8,25,2,2,0,1,0,0,N
95,25,15,10.10714245,3,0.833333333,22.75555556,15,13,26,38,2,6,9,29,4,4,N
96,71,1,23.3214283,6,1.4,79.46666667,16,4,24,78,2,4,12,53,16,6,Y
97,74,10,14.46428585,2,0.2,45.62666667,10,2,15,33,2,5,2,5,3,2,N
98,34,9,10.96428585,2,3.666666667,12.49444444,14,8,4,29,2,2,0,15,0,1,Y
99,28,13,8.107142448,1,2.5,36.78333333,15,4,16,41,2,4,5,9,2,2,N
100,38,17,11,3,0,16.15833333,11,3,26,30,2,3,0,0,0,0,N
101,50,4,12.85714245,4,3.666666667,22.45555556,16,11,10,29,2,2,0,3,0,1,Y
102,39,16,9.5,3,0.5,62.02083333,18,11,40,23,2,3,3,24,0,0,N
103,42,17,9.107142448,5,0.333333333,25.73333333,12,0,13,40,3,3,10,17,6,1,Y
104,56,5,12.53571415,2,2,53.8,14,2,26,47,4,5,2,15,5,7,N
105,0,62,1.285714269,0,0,0,14,2,39,37,2,2,1,10,4,2,N
106,45,7,13.35714245,10,3.666666667,38.1,16,9,22,21,1,1,0,1,1,0,Y
107,20,16,9,1,3,18.49444444,24,50,40,28,2,3,1,5,4,0,Y
108,33,20,6.928571224,8,0,0,14,4,23,68,2,3,7,13,11,7,N
109,28,16,8.107142448,5,0,71.52222222,11,0,24,51,3,5,0,7,3,1,N
110,57,5,14.6785717,3,2.2,76.96333333,11,5,27,33,2,4,3,2,8,3,Y
111,42,9,11.0714283,3,2.666666667,16.76944444,14,1,22,21,3,2,0,6,3,1,Y
