"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes",Grade,Above Average
"1","29","7.285714149475098","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","22.333333333333332","19.616666666666667","19.616666666666667","22.116666666666667","14.05","17.05","0","0","0","0","12.517708333333335",1000.79,Y
"2","46","3.857142925262451","33","21.216666666666665","16.1","30.2","34.416666666666664","14.6","1.25","100.43333333333334","0","28.816666666666666","1.35","0","0","0","0","0","0","15.523958333333333",957.03,Y
"3","25","6.714285850524902","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","23.7","0","24.05","17.133333333333333","31.416666666666668","0","0","0","0","0","0","0","12.286458333333332",900.63,N
"4","27","7.089285850524902","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","31.5","31.616666666666667","34.3","39.85","27.75","40.666666666666664","0","0","0","0","19.264583333333338",897.75,N
"5","11","11.785714149475098","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","54.78333333333333","84.36666666666666","97.38333333333334","74.05","58.71666666666667","34.166666666666664","0","0","0","0","0","40.668749999999996",922.97,Y
"6","3","16.285715103149414","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","33.31666666666667","0","27.9","0","21.533333333333335","0","0","0","0","0","17.176041666666666",909.7,N
"7","27","9.678571701049805","130","9.0","0","16.216666666666665","0","19.1","0","42.016666666666666","20.75","15.383333333333333","0","0","0","0","0","0","0","7.654166666666667",907.63,N
"8","29","7.535714149475098","86","0","11.316666666666666","0","1403.1833333333334","16.833333333333332","0","0","1414.8166666666666","0","0","0","0","0","0","0","0","177.88437499999998",912.36,N
"9","15","8.428571701049805","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","36.2","0","30.316666666666666","0","15.616666666666667","0","0","0","0","0","10.583333333333334",968.59,Y
"11","12","11.767857551574707","135","27.75","18.816666666666666","53.68333333333333","0","49.516666666666666","61.86666666666667","85.05","66.25","89.51666666666667","0","44.083333333333336","51.4","0","0","0","0","34.24583333333333",974.05,Y
"12","18","11.160714149475098","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","33.333333333333336","23.9","27.8","0","17.65","19.766666666666666","0","0","0","0","13.613541666666666",1005.31,Y
"13","25","8.767857551574707","113","16.183333333333334","0","20.4","18.683333333333334","25.333333333333332","16.05","28.5","0","34.11666666666667","0","0","0","0","0","0","0","9.954166666666666",975.5,Y
"14","28","7.125","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","41.083333333333336","0","25.566666666666666","30.316666666666666","19.233333333333334","0","0","0","0","0","98.23229166666667",990.02,Y
"15","35","7.285714149475098","65","19.816666666666666","9.1","23.4","0","0","14.4","16.533333333333335","0","19.783333333333335","0","13.8","25.25","0","0","0","0","8.880208333333332",983.5,Y
"16","17","13.535714149475098","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","22.066666666666666","23.75","34.9","27.7","0","0","0","0","0","0","13.327083333333333",1033.02,Y
"17","29","6.4464287757873535","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","23.716666666666665","20.216666666666665","26.266666666666666","0","13.366666666666667","18.1","0","0","0","0","10.500000000000002",962.91,Y
"18","33","5.9464287757873535","65","17.433333333333334","16.7","40.516666666666666","0","21.133333333333333","18.766666666666666","33.2","0","22.883333333333333","35.88333333333333","0","0","0","0","0","0","12.907291666666666",840.61,N
"19","15","11.642857551574707","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","34.18333333333333","0","52.46666666666667","0","24.116666666666667","0","0","0","0","0","12.135416666666668",995.77,Y
"20","25","7.4464287757873535","75","24.3","13.716666666666667","28.3","0","19.15","0","39.833333333333336","0","42.93333333333333","12.55","21.466666666666665","0","0","0","0","0","12.640625000000002",921.83,N
"21","37","7.5535712242126465","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","36.666666666666664","18.75","26.45","1415.7666666666667","71.08333333333333","0","0","0","0","0","0","0","105.00625",872.18,N
"22","22","8.089285850524902","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","15.716666666666667","23.183333333333334","19.7","25.916666666666668","9.383333333333333","14.216666666666667","0","0","0","0","13.918749999999998",986.94,Y
"23","14","10.232142448425293","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","25.983333333333334","38.7","1410.7333333333333","37.666666666666664","21.1","28.6","0","0","0","0","192.50937499999998",974.75,Y
"24","32","9.910714149475098","65","17.95","13.5","29.466666666666665","29.016666666666666","23.966666666666665","0","28.0","52.75","19.616666666666667","0","18.633333333333333","0","0","0","0","0","14.55625",940.63,Y
"25","15","14.035714149475098","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","0","46.46666666666667","47.78333333333333","40.733333333333334","0","28.45","0","0","0","0","0","18.201041666666665",1001.2,Y
"26","33","5.3035712242126465","93","0","1413.8666666666666","0","73.01666666666667","0","18.05","0","34.233333333333334","0","0","0","0","0","0","0","0","96.19791666666666",801.57,N
"27","17","12.160714149475098","142","66.61666666666666","0","119.9","76.7","90.06666666666666","0","73.2","0","72.2","0","84.53333333333333","0","0","0","0","0","36.45104166666666",946.68,Y
"28","37","4.4285712242126465","52","27.8","27.016666666666666","57.016666666666666","63.21666666666667","43.3","19.416666666666668","53.78333333333333","61.61666666666667","38.61666666666667","68.43333333333334","0","0","0","0","0","0","28.76354166666667",822.24,N
"29","10","10.625","142","22.9","34.083333333333336","44.11666666666667","50.7","35.38333333333333","28.366666666666667","54.65","0","72.33333333333333","64.96666666666667","42.38333333333333","70.41666666666667","0","0","0","0","32.51875",857.44,N
"30","16","10.125","124","33.8","25.866666666666667","50.38333333333333","45.5","28.1","0","52.13333333333333","62.15","69.95","0","22.633333333333333","41.38333333333333","0","0","0","0","26.99375",980.46,Y
"31","23","10.75","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","9.566666666666666","0","26.85","20.583333333333332","15.85","0","13.8","0","0","0","0","0","9.116666666666667",1001.46,Y
"32","9","10.285714149475098","113","20.9","13.65","22.566666666666666","22.25","22.783333333333335","0","34.416666666666664","43.0","33.03333333333333","0","24.183333333333334","0","0","0","0","0","14.798958333333333",942.78,Y
"33","31","7.5","76","26.866666666666667","0","28.45","0","11.466666666666667","0","25.733333333333334","0","33.733333333333334","0","20.05","24.5","0","0","0","0","10.675",969.32,Y
"34","15","15.571428298950195","175","40.13333333333333","16.716666666666665","38.833333333333336","33.233333333333334","22.8","19.766666666666666","35.9","34.56666666666667","48.266666666666666","32.766666666666666","21.566666666666666","51.016666666666666","0","0","0","0","24.722916666666666",920.42,N
"35","29","5.910714149475098","68","18.116666666666667","0","28.85","0","17.883333333333333","0","25.166666666666668","0","24.933333333333334","0","30.266666666666666","0","0","0","0","0","9.076041666666667",870.56,N
"36","24","8.017857551574707","78","11.533333333333333","0","20.2","0","15.0","16.466666666666665","19.766666666666666","0","23.933333333333334","0","0","0","0","0","0","0","6.68125",902.77,N
"37","31","5.1964287757873535","71","27.416666666666668","0","46.81666666666667","24.916666666666668","28.45","1.1666666666666667","0","0","0","0","0","0","0","0","0","0","8.047916666666667",807.11,N
"38","32","7.767857074737549","119","13.333333333333334","11.816666666666666","0","1408.2166666666667","0","28.233333333333334","29.55","20.85","30.016666666666666","0","0","0","0","0","0","0","96.37604166666667",863.59,N
