"ID","num_logins","days_no_activities","act_per_day","num_online_meetings","due_1A","due_1B","due_2_1A","due_2_1B","due_2_2A","due_2_2B","due_3A","due_3B","due_4A","due_4B","due_5A","due_5B","due_6A","due_6B","due_7A","due_7B","avg_due","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","avg_time_test"
"1","50","29","7.285714149475098","3","4","4","4","0","4","4","1","1","2","2","2","2","-999","-999","-999","-999","2.5","18.0","12.233333333333333","18.95","18.75","50.233333333333334","334.95","53.5","19.816666666666666","21.066666666666666","22.416666666666668","14.4","17.233333333333334","0","0","0","0","50.12916666666667"
"2","17","46","3.857142925262451","3","0","0","0","0","0","0","0","-999","0","0","-999","-999","-999","-999","-999","-999","0","22.933333333333334","18.65","30.966666666666665","34.55","14.683333333333334","1.3166666666666667","100.6","0","28.933333333333334","1.45","0","0","0","0","0","0","28.23148148148148"
"3","58","25","6.714285850524902","1","2","2","0","0","0","-999","0","0","0","-999","-999","-999","-999","-999","-999","-999","0.5","25.583333333333332","18.366666666666667","30.716666666666665","30.233333333333334","23.783333333333335","0","24.15","17.25","31.5","0","0","0","0","0","0","0","25.197916666666668"
"4","54","27","7.089285850524902","9","4","4","4","1","3","3","2","1","4","4","1","1","-999","-999","-999","-999","2.6666666666666665","18.133333333333333","16.516666666666666","32.75","21.25","17.533333333333335","0","31.633333333333333","32.61666666666667","131.63333333333333","40.0","29.066666666666666","51.55","0","0","0","0","38.42575757575758"
"5","102","11","11.785714149475098","0","1","0","0","0","1","0","0","0","0","0","1","-999","-999","-999","-999","-999","0.2727272727272727","30.433333333333334","19.683333333333334","63.1","76.6","62.666666666666664","55.333333333333336","84.66666666666667","98.5","74.38333333333334","59.06666666666667","37.78333333333333","0","0","0","0","0","60.20151515151515"
"6","129","3","16.285715103149414","0","3","2","3","2","4","3","3","-999","4","-999","3","-999","-999","-999","-999","-999","3.0","41.63333333333333","32.916666666666664","39.8","27.066666666666666","32.03333333333333","21.916666666666668","33.43333333333333","0","28.0","0","21.683333333333334","0","0","0","0","0","30.94259259259259"
"7","86","27","9.678571701049805","0","1","-20","1","-13","1","-6","1","0","0","-999","-999","-999","-999","-999","-999","-999","-3.888888888888889","46.766666666666666","0","17.3","0","19.716666666666665","0","148.13333333333333","22.633333333333333","15.866666666666667","0","0","0","0","0","0","0","45.069444444444436"
"8","62","29","7.535714149475098","4","-1","-3","-3","-3","0","-999","-999","-14","-999","-999","-999","-999","-999","-999","-999","-999","-4.0","0","13.283333333333333","0","1403.0166666666667","19.45","0","0","1414.55","0","0","0","0","0","0","0","0","712.575"
"9","82","15","8.428571701049805","10","4","2","3","2","2","-999","1","-999","4","-999","3","-999","-999","-999","-999","-999","2.625","21.75","10.05","23.216666666666665","20.216666666666665","14.483333333333333","0","36.36666666666667","0","30.583333333333332","0","15.8","0","0","0","0","0","21.558333333333337"
"11","103","12","11.767857551574707","0","1","0","1","-999","0","1","1","0","1","-999","1","1","-999","-999","-999","-999","0.7","28.766666666666666","19.366666666666667","58.766666666666666","0","49.68333333333333","62.2","85.36666666666666","66.38333333333334","89.6","0","44.2","51.483333333333334","0","0","0","0","55.58166666666666"
"12","70","18","11.160714149475098","2","4","2","4","-31","4","3","4","2","3","-3","3","1","-999","-999","-999","-999","-0.3333333333333333","28.05","18.25","22.65","0","21.383333333333333","11.883333333333333","33.483333333333334","23.983333333333334","27.916666666666668","0","18.033333333333335","19.85","0","0","0","0","22.548333333333332"
"13","83","25","8.767857551574707","7","2","-999","0","0","0","0","0","-999","0","-999","-999","-999","-999","-999","-999","-999","0.2857142857142857","23.166666666666668","0","20.766666666666666","18.95","25.45","16.933333333333334","28.666666666666668","0","34.25","0","0","0","0","0","0","0","24.026190476190475"
"14","60","28","7.125","5","2","-999","2","-999","1","-999","1","-999","0","0","1","-999","-999","-999","-999","-999","1.0","35.083333333333336","0","1396.65","0","26.95","0","42.266666666666666","0","27.0","30.583333333333332","19.55","0","0","0","0","0","225.44047619047618"
"15","45","35","7.285714149475098","1","4","4","4","-6","1","2","3","-999","3","-999","2","2","-999","-999","-999","-999","1.9","20.916666666666668","9.25","23.533333333333335","0","0","14.733333333333333","16.666666666666668","0","19.9","0","14.0","25.4","0","0","0","0","18.05"
"16","81","17","13.535714149475098","3","3","3","2","2","2","2","2","2","2","2","-999","-999","-999","-999","-999","-999","2.2","19.066666666666666","22.183333333333334","22.916666666666668","15.7","18.766666666666666","9.416666666666666","22.15","23.833333333333332","35.06666666666667","27.783333333333335","0","0","0","0","0","0","21.688333333333336"
