"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes"
"1","11","9.428571701049805","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","0","0","0","0","0","0","0","0","0","0","5.34375"
"2","23","5.142857074737549","33","21.216666666666665","16.1","30.2","34.416666666666664","0","0","0","0","0","0","0","0","0","0","0","0","6.370833333333334"
"3","10","8.25","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","0","0","0","0","0","0","0","0","0","0","0","0","6.267708333333333"
"4","13","8.214285850524902","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","0","0","0","0","0","0","0","0","0","0","6.409375"
"5","4","13.464285850524902","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","0","0","0","0","0","0","0","0","0","0","0","15.452083333333334"
"6","2","18.428571701049805","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","0","0","0","0","0","0","0","0","0","0","12.004166666666666"
"7","13","12.428571701049805","130","9.0","0","16.216666666666665","0","19.1","0","0","0","0","0","0","0","0","0","0","0","2.7697916666666664"
"8","14","10.892857551574707","86","0","11.316666666666666","0","1403.1833333333334","0","0","0","0","0","0","0","0","0","0","0","0","88.40625"
"9","8","9.392857551574707","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","0","0","0","0","0","0","0","0","0","0","5.449999999999999"
"11","6","14.107142448425293","135","27.75","18.816666666666666","53.68333333333333","0","0","61.86666666666667","0","0","0","0","0","0","0","0","0","0","10.132291666666667"
"12","8","13.571428298950195","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","0","0","0","0","0","0","0","0","0","0","5.960416666666666"
"13","12","10.464285850524902","113","16.183333333333334","0","20.4","18.683333333333334","0","0","0","0","0","0","0","0","0","0","0","0","3.4541666666666666"
"14","13","8.821428298950195","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","0","0","0","0","0","0","0","0","0","0","90.96979166666668"
"15","14","9.035714149475098","65","19.816666666666666","9.1","23.4","0","0","14.4","0","0","0","0","0","0","0","0","0","0","4.169791666666667"
"16","7","14.178571701049805","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","0","0","0","0","0","0","0","0","0","0","6.551041666666666"
"17","10","8.964285850524902","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","0","0","0","0","0","0","0","0","0","0","4.145833333333334"
"18","16","7.607142925262451","65","17.433333333333334","16.7","40.516666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","4.665625"
"19","8","15.821428298950195","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","0","0","0","0","0","0","0","0","0","0","5.2125"
"20","12","8.821428298950195","75","24.3","13.716666666666667","28.3","0","19.15","0","0","0","0","0","0","0","0","0","0","0","5.341666666666667"
"21","18","10.75","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","0","0","0","0","0","0","0","0","0","0","0","0","6.961458333333334"
"22","8","10.071428298950195","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","0","0","0","0","0","0","0","0","0","0","7.161458333333333"
"23","6","12.214285850524902","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","0","0","0","0","0","0","0","0","0","0","94.83541666666666"
"24","16","10.0","65","17.95","13.5","29.466666666666665","29.016666666666666","0","0","0","0","0","0","0","0","0","0","0","0","5.620833333333334"
"25","4","18.928571701049805","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","0","0","0","0","0","0","0","0","0","0","0","7.986458333333332"
"26","16","6.5714287757873535","93","0","1413.8666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.36666666666666"
"27","8","14.25","142","66.61666666666666","0","119.9","76.7","90.06666666666666","0","0","0","0","0","0","0","0","0","0","0","22.08020833333333"
"28","16","5.357142925262451","52","27.8","27.016666666666666","57.016666666666666","63.21666666666667","0","0","0","0","0","0","0","0","0","0","0","0","10.940625"
"29","7","11.714285850524902","142","22.9","34.083333333333336","44.11666666666667","50.7","35.38333333333333","28.366666666666667","0","0","0","0","0","0","0","0","0","0","13.471875"
"30","4","12.964285850524902","124","33.8","25.866666666666667","50.38333333333333","45.5","28.1","0","0","0","0","0","0","0","0","0","0","0","11.478125"
"31","8","14.964285850524902","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","9.566666666666666","0","0","0","0","0","0","0","0","0","0","0","4.298958333333333"
"32","3","11.785714149475098","113","20.9","13.65","22.566666666666666","22.25","22.783333333333335","0","0","0","0","0","0","0","0","0","0","0","6.3843749999999995"
"33","13","9.321428298950195","76","26.866666666666667","0","28.45","0","11.466666666666667","0","0","0","0","0","0","0","0","0","0","0","4.173958333333333"
"34","8","16.35714340209961","175","40.13333333333333","16.716666666666665","38.833333333333336","33.233333333333334","22.8","0","0","0","0","0","0","0","0","0","0","0","9.482291666666669"
"35","18","6.857142925262451","68","18.116666666666667","0","28.85","0","17.883333333333333","0","0","0","0","0","0","0","0","0","0","0","4.053125"
"36","10","9.142857551574707","78","11.533333333333333","0","20.2","0","15.0","0","0","0","0","0","0","0","0","0","0","0","2.9208333333333334"
"37","12","7.857142925262451","71","27.416666666666668","0","46.81666666666667","24.916666666666668","0","0","0","0","0","0","0","0","0","0","0","0","6.196875"
"38","18","7.1785712242126465","119","13.333333333333334","11.816666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.571875"
"39","13","9.285714149475098","136","18.6","15.833333333333334","30.866666666666667","27.5","21.083333333333332","13.25","0","0","0","0","0","0","0","0","0","0","7.945833333333334"
"40","11","7.392857074737549","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","13.133333333333333","0","0","0","0","0","0","0","0","0","0","0","4.699999999999999"
"41","6","17.178571701049805","157","19.966666666666665","0","32.75","26.066666666666666","23.583333333333332","13.75","0","0","0","0","0","0","0","0","0","0","7.257291666666666"
"42","16","8.035714149475098","52","36.083333333333336","24.683333333333334","63.21666666666667","0","53.81666666666667","0","0","0","0","0","0","0","0","0","0","0","11.1125"
"43","15","9.071428298950195","55","13.683333333333334","14.3","24.133333333333333","20.216666666666665","13.383333333333333","0","0","0","0","0","0","0","0","0","0","0","5.357291666666667"
"44","13","11.321428298950195","89","20.366666666666667","0","30.183333333333334","0","15.85","0","0","0","0","0","0","0","0","0","0","0","4.1499999999999995"
"45","11","13.357142448425293","156","49.733333333333334","19.833333333333332","63.81666666666667","64.35","0","0","0","0","0","0","0","0","0","0","0","0","12.358333333333333"
"46","9","10.464285850524902","148","27.483333333333334","30.866666666666667","42.15","39.53333333333333","41.13333333333333","0","0","0","0","0","0","0","0","0","0","0","11.322916666666666"
"47","8","15.857142448425293","138","21.283333333333335","13.866666666666667","35.3","60.05","30.233333333333334","0","0","0","0","0","0","0","0","0","0","0","10.045833333333334"
"48","8","10.107142448425293","88","12.15","0","21.916666666666668","21.166666666666668","15.316666666666666","0","0","0","0","0","0","0","0","0","0","0","4.409375"
"49","4","11.857142448425293","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","73.33333333333333","38.53333333333333","0","0","0","0","0","0","0","0","0","0","18.717708333333334"
"50","11","8.035714149475098","112","43.7","27.883333333333333","37.68333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8291666666666675"
"51","7","10.75","121","15.066666666666666","14.716666666666667","19.583333333333332","18.45","0","0","0","0","0","0","0","0","0","0","0","0","4.238541666666666"
"52","16","8.535714149475098","70","33.38333333333333","17.983333333333334","41.38333333333333","44.06666666666667","38.55","0","0","0","0","0","0","0","0","0","0","0","10.960416666666667"
"53","7","11.892857551574707","137","19.15","24.6","26.4","30.083333333333332","30.9","0","0","0","0","0","0","0","0","0","0","0","8.195833333333333"
"54","8","10.928571701049805","158","25.95","15.1","1329.8","23.066666666666666","0","0","0","0","0","0","0","0","0","0","0","0","87.11979166666666"
"55","3","18.85714340209961","183","45.36666666666667","63.1","1391.2166666666667","65.81666666666666","33.233333333333334","21.05","0","0","0","0","0","0","0","0","0","0","101.23645833333333"
"56","13","9.642857551574707","94","18.533333333333335","0","29.8","0","18.35","13.85","0","0","0","0","0","0","0","0","0","0","5.033333333333333"
"57","6","13.035714149475098","103","56.81666666666667","52.4","87.73333333333333","75.45","48.6","33.1","0","0","0","0","0","0","0","0","0","0","22.13125"
"58","11","16.071428298950195","122","36.75","0","37.03333333333333","0","28.083333333333332","0","0","0","0","0","0","0","0","0","0","0","6.366666666666666"
"59","8","11.642857551574707","94","18.35","13.7","28.6","31.933333333333334","15.716666666666667","0","0","0","0","0","0","0","0","0","0","0","6.76875"
"60","7","7.964285850524902","88","29.1","17.083333333333332","40.833333333333336","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4385416666666675"
"61","4","17.678571701049805","198","22.266666666666666","0","33.96666666666667","0","14.733333333333333","15.333333333333334","0","0","0","0","0","0","0","0","0","0","5.39375"
"62","9","11.392857551574707","99","28.283333333333335","17.933333333333334","50.266666666666666","30.516666666666666","44.1","0","0","0","0","0","0","0","0","0","0","0","10.69375"
"63","12","9.428571701049805","106","16.566666666666666","18.133333333333333","31.733333333333334","23.583333333333332","0","0","0","0","0","0","0","0","0","0","0","0","5.626041666666667"
"64","6","16.10714340209961","182","81.56666666666666","0","93.51666666666667","0","93.26666666666667","0","0","0","0","0","0","0","0","0","0","0","16.771874999999998"
"65","8","12.678571701049805","119","25.266666666666666","19.6","34.65","0","24.966666666666665","0","0","0","0","0","0","0","0","0","0","0","6.530208333333333"
"66","18","8.142857551574707","90","0","51.1","0","41.1","0","0","0","0","0","0","0","0","0","0","0","0","5.7625"
"67","12","8.642857551574707","82","38.266666666666666","0","48.88333333333333","0","44.516666666666666","0","0","0","0","0","0","0","0","0","0","0","8.229166666666668"
"68","11","8.107142448425293","90","17.1","17.333333333333332","30.083333333333332","19.866666666666667","10.783333333333333","21.5","0","0","0","0","0","0","0","0","0","0","7.291666666666666"
"69","4","13.5","143","11.383333333333333","8.366666666666667","18.1","1423.1","10.45","0","0","0","0","0","0","0","0","0","0","0","91.96249999999999"
"70","7","7.785714149475098","90","16.15","0","20.65","0","13.866666666666667","0","0","0","0","0","0","0","0","0","0","0","3.1666666666666665"
"71","1","17.60714340209961","188","28.116666666666667","18.416666666666668","33.233333333333334","29.1","14.683333333333334","9.716666666666667","0","0","0","0","0","0","0","0","0","0","8.329166666666667"
"72","7","9.0","94","25.383333333333333","0","32.166666666666664","0","22.9","0","0","0","0","0","0","0","0","0","0","0","5.028124999999999"
"73","4","12.142857551574707","126","18.6","12.683333333333334","30.933333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","3.888541666666667"
"74","13","8.392857551574707","76","35.81666666666667","19.633333333333333","27.5","25.9","15.633333333333333","0","0","0","0","0","0","0","0","0","0","0","7.7802083333333325"
"75","12","11.071428298950195","121","43.583333333333336","25.516666666666666","57.95","21.966666666666665","0","0","0","0","0","0","0","0","0","0","0","0","9.313541666666666"
"76","7","10.5","93","8.3","6.716666666666667","16.766666666666666","14.95","8.733333333333333","6.766666666666667","0","0","0","0","0","0","0","0","0","0","3.8895833333333334"
"77","15","8.714285850524902","107","0","27.933333333333334","0","51.833333333333336","0","0","0","0","0","0","0","0","0","0","0","0","4.985416666666667"
"78","17","7.0","66","26.416666666666668","0","51.016666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","4.839583333333334"
"79","8","10.214285850524902","86","18.8","17.1","22.633333333333333","16.05","9.916666666666666","18.6","0","0","0","0","0","0","0","0","0","0","6.443750000000001"
"80","11","12.571428298950195","156","25.733333333333334","52.78333333333333","70.15","52.6","0","0","0","0","0","0","0","0","0","0","0","0","12.579166666666667"
"81","16","6.3214287757873535","52","14.366666666666667","0","17.716666666666665","0","15.083333333333334","0","0","0","0","0","0","0","0","0","0","0","2.9479166666666665"
"82","10","11.071428298950195","90","19.516666666666666","25.466666666666665","30.333333333333332","34.0","16.483333333333334","23.1","0","0","0","0","0","0","0","0","0","0","9.30625"
"83","10","8.928571701049805","83","21.733333333333334","1426.3","33.28333333333333","23.666666666666668","25.966666666666665","26.0","0","0","0","0","0","0","0","0","0","0","97.309375"
"84","7","12.75","115","26.95","0","44.88333333333333","25.733333333333334","18.65","0","0","0","0","0","0","0","0","0","0","0","7.263541666666667"
"85","9","20.14285659790039","97","20.266666666666666","79.68333333333334","0","159.71666666666667","0","0","0","0","0","0","0","0","0","0","0","0","16.229166666666668"
"86","12","10.178571701049805","83","21.033333333333335","24.7","43.96666666666667","28.716666666666665","35.96666666666667","28.416666666666668","0","0","0","0","0","0","0","0","0","0","11.424999999999999"
"87","7","9.5","108","16.083333333333332","11.483333333333333","27.75","0","13.85","0","0","0","0","0","0","0","0","0","0","0","4.322916666666666"
"88","7","10.892857551574707","109","19.233333333333334","20.65","43.11666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1875"
"89","11","8.071428298950195","92","21.283333333333335","16.2","31.45","28.75","0","0","0","0","0","0","0","0","0","0","0","0","6.105208333333334"
"90","12","8.75","61","20.816666666666666","0","0","25.333333333333332","19.05","13.966666666666667","0","0","0","0","0","0","0","0","0","0","4.947916666666667"
"91","8","12.25","115","17.716666666666665","10.166666666666666","31.216666666666665","22.316666666666666","15.516666666666667","0","0","0","0","0","0","0","0","0","0","0","6.058333333333333"
"92","9","14.25","128","42.43333333333333","47.75","45.083333333333336","0","26.216666666666665","0","0","0","0","0","0","0","0","0","0","0","10.092708333333334"
"93","9","11.785714149475098","110","24.883333333333333","0","37.6","0","24.866666666666667","0","0","0","0","0","0","0","0","0","0","0","5.459375"
"94","4","7.464285850524902","101","11.316666666666666","42.45","32.85","23.333333333333332","22.216666666666665","9.4","0","0","0","0","0","0","0","0","0","0","8.847916666666666"
"95","15","10.107142448425293","87","20.083333333333332","15.5","37.65","23.316666666666666","17.516666666666666","18.9","0","0","0","0","0","0","0","0","0","0","8.310416666666665"
"96","1","23.321428298950195","205","88.8","0","95.35","70.33333333333333","59.75","0","0","0","0","0","0","0","0","0","0","0","19.63958333333333"
"97","10","14.464285850524902","164","27.283333333333335","53.06666666666667","58.86666666666667","39.333333333333336","0","45.11666666666667","0","0","0","0","0","0","0","0","0","0","13.979166666666668"
"98","9","10.964285850524902","94","9.833333333333334","7.166666666666667","19.516666666666666","12.383333333333333","16.283333333333335","8.233333333333333","0","0","0","0","0","0","0","0","0","0","4.588541666666667"
"99","13","8.107142448425293","72","36.083333333333336","26.45","50.583333333333336","0","30.883333333333333","0","0","0","0","0","0","0","0","0","0","0","9.0"
"100","17","11.0","39","13.066666666666666","18.233333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.95625"
