"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"60","1","11.571428298950195","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"61","3","18.85714340209961","198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"62","2","19.14285659790039","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"63","4","10.571428298950195","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"64","1","34.28571319580078","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"65","2","14.571428298950195","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"66","7","0.0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"67","2","16.571428298950195","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"68","1","13.857142448425293","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"69","1","14.571428298950195","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"70","2","12.428571701049805","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"71","1","22.571428298950195","188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"72","3","6.4285712242126465","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"73","2","10.428571701049805","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"74","3","11.428571701049805","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"75","4","14.142857551574707","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"76","3","13.285714149475098","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"77","7","0.0","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"78","1","19.14285659790039","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"79","1","20.571428298950195","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"80","3","19.428571701049805","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"81","4","10.571428298950195","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"82","2","22.428571701049805","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"83","2","11.285714149475098","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"84","1","23.571428298950195","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"85","4","22.0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"86","5","11.571428298950195","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"87","2","12.0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"88","4","8.857142448425293","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"89","2","12.142857551574707","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"90","1","20.714284896850586","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
