"ID","num_logins","days_no_activities","act_per_day","num_online_meetings","due_1A","due_1B","due_2_1A","due_2_1B","due_2_2A","due_2_2B","due_3A","due_3B","due_4A","due_4B","due_5A","due_5B","due_6A","due_6B","due_7A","due_7B","avg_due","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","avg_time_test"
"1","72","46","6.329545497894287","3","4","4","4","0","4","4","1","1","2","2","2","2","1","1","2","2","2.25","18.0","12.233333333333333","18.95","18.75","50.233333333333334","334.95","53.5","19.816666666666666","21.066666666666666","22.416666666666668","14.4","17.233333333333334","6.6","7.633333333333334","21.75","19.366666666666667","41.056250000000006"
"2","33","72","3.7386362552642822","3","0","0","0","0","0","0","0","-999","0","0","0","0","0","0","0","0","0","22.933333333333334","18.65","30.966666666666665","34.55","14.683333333333334","1.3166666666666667","100.6","0","28.933333333333334","1.45","21.783333333333335","24.416666666666668","10.416666666666666","1.0","30.683333333333334","1.6666666666666667","22.93666666666667"
"3","91","42","7.181818008422852","1","2","2","0","0","0","-999","0","0","0","-999","0","0","0","-999","0","0","0.3076923076923077","25.583333333333332","18.366666666666667","30.716666666666665","30.233333333333334","23.783333333333335","0","24.15","17.25","31.5","0","19.45","32.3","9.783333333333333","0","16.383333333333333","17.15","22.819230769230767"
"4","81","43","7.034090995788574","10","4","4","4","1","3","3","2","1","4","4","1","1","2","2","0","0","2.25","18.133333333333333","16.516666666666666","32.75","21.25","17.533333333333335","0","31.633333333333333","32.61666666666667","131.63333333333333","40.0","29.066666666666666","51.55","23.166666666666668","11.533333333333333","34.36666666666667","35.55","35.153333333333336"
"5","133","27","9.875","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0.25","30.433333333333334","19.683333333333334","63.1","76.6","62.666666666666664","55.333333333333336","84.66666666666667","98.5","74.38333333333334","59.06666666666667","37.78333333333333","58.233333333333334","52.78333333333333","18.483333333333334","71.0","54.266666666666666","57.311458333333334"
"6","194","15","15.943181991577148","0","3","2","3","2","4","3","3","-999","4","-999","3","-999","4","-999","4","2","3.0833333333333335","41.63333333333333","32.916666666666664","39.8","27.066666666666666","32.03333333333333","21.916666666666668","33.43333333333333","0","28.0","0","21.683333333333334","0","16.0","0","29.783333333333335","46.233333333333334","30.875"
"7","130","44","9.090909004211426","0","1","-20","1","-13","1","-6","1","0","0","-999","0","-999","0","0","0","0","-2.5","46.766666666666666","0","17.3","0","19.716666666666665","0","148.13333333333333","22.633333333333333","15.866666666666667","0","18.733333333333334","0","30.3","10.45","14.3","1416.0666666666666","160.02424242424243"
"8","86","48","6.75","4","-1","-3","-3","-3","0","-999","-999","-14","-999","-8","-999","-9","-999","-2","-999","0","-4.3","0","13.283333333333333","0","1403.0166666666667","19.45","0","0","1414.55","0","68.73333333333333","0","22.116666666666667","0","12.816666666666666","0","1424.2333333333333","547.275"
"9","108","32","7.045454502105713","13","4","2","3","2","2","-999","1","-999","4","-999","3","-999","4","-999","2","0","2.4545454545454546","21.75","10.05","23.216666666666665","20.216666666666665","14.483333333333333","0","36.36666666666667","0","30.583333333333332","0","15.8","0","11.183333333333334","0","27.333333333333332","17.933333333333334","20.810606060606066"
"11","135","27","10.681818008422852","0","1","0","1","-999","0","1","1","0","1","-999","1","1","1","-999","1","-999","0.75","28.766666666666666","19.366666666666667","58.766666666666666","0","49.68333333333333","62.2","85.36666666666666","66.38333333333334","89.6","0","44.2","51.483333333333334","16.6","0","43.0","0","51.28472222222222"
"12","84","40","8.034090995788574","2","4","2","4","-31","4","3","4","2","3","-3","3","1","4","-999","3","-999","0.21428571428571427","28.05","18.25","22.65","0","21.383333333333333","11.883333333333333","33.483333333333334","23.983333333333334","27.916666666666668","0","18.033333333333335","19.85","18.15","0","21.366666666666667","0","22.083333333333332"
"13","113","44","8.295454978942871","7","2","-999","0","0","0","0","0","-999","0","-999","0","-999","0","0","0","0","0.16666666666666666","23.166666666666668","0","20.766666666666666","18.95","25.45","16.933333333333334","28.666666666666668","0","34.25","0","23.35","0","11.783333333333333","6.966666666666667","20.733333333333334","18.133333333333333","20.7625"
"14","78","50","6.170454502105713","5","2","-999","2","-999","1","-999","1","-999","0","0","1","-999","2","2","4","4","1.7272727272727273","35.083333333333336","0","1396.65","0","26.95","0","42.266666666666666","0","27.0","30.583333333333332","19.55","0","12.883333333333333","10.583333333333334","65.6","1414.3166666666666","280.13333333333327"
"15","65","57","6.6022725105285645","1","4","4","4","-6","1","2","3","-999","3","-999","2","2","3","3","2","2","2.0714285714285716","20.916666666666668","9.25","23.533333333333335","0","0","14.733333333333333","16.666666666666668","0","19.9","0","14.0","25.4","13.2","4.833333333333333","14.8","15.916666666666666","16.095833333333335"
"16","123","31","14.340909004211426","3","3","3","2","2","2","2","2","2","2","2","0","0","2","-13","0","0","0.6875","19.066666666666666","22.183333333333334","22.916666666666668","15.7","18.766666666666666","9.416666666666666","22.15","23.833333333333332","35.06666666666667","27.783333333333335","14.05","21.016666666666666","12.55","0","39.36666666666667","25.533333333333335","21.960000000000004"
"17","86","48","6.034090995788574","1","4","4","4","2","2","2","4","1","2","-999","1","1","3","3","0","-999","2.357142857142857","17.233333333333334","543.55","18.4","11.183333333333334","10.0","5.566666666666666","24.083333333333332","20.316666666666666","26.5","0","92.63333333333334","18.266666666666666","5.9","3.6","11.333333333333334","0","57.75476190476191"
"18","65","50","7.056818008422852","0","2","1","0","-999","0","0","0","-999","0","0","0","-999","1","1","1","0","0.46153846153846156","101.28333333333333","16.916666666666668","40.78333333333333","0","23.25","19.1","845.0833333333334","0","24.116666666666667","36.03333333333333","30.383333333333333","0","17.883333333333333","13.183333333333334","29.116666666666667","57.9","96.54102564102566"
"19","124","30","10.284090995788574","10","2","-999","1","-52","2","-999","2","-999","2","-999","1","-999","1","-999","2","-999","-4.333333333333333","33.93333333333333","0","26.216666666666665","0","27.05","0","34.8","0","55.9","0","24.25","0","24.433333333333334","0","28.133333333333333","0","31.83958333333333"
"20","75","46","7.738636493682861","6","1","0","1","-999","1","-999","1","-999","0","0","1","-999","1","-999","1","-999","0.7","52.35","14.333333333333334","29.116666666666667","0","19.433333333333334","0","40.03333333333333","0","43.15","12.7","21.616666666666667","0","11.333333333333334","0","1411.2","0","165.52666666666667"
"21","80","49","8.602272987365723","0","1","0","0","0","0","0","0","0","0","-999","0","0","0","0","1","0","0.13333333333333333","20.633333333333333","25.383333333333333","29.516666666666666","36.63333333333333","36.81666666666667","18.9","26.733333333333334","1415.6","71.51666666666667","0","24.716666666666665","1416.3833333333334","9.183333333333334","13.183333333333334","22.566666666666666","39.4","213.81111111111113"
"22","96","40","7.079545497894287","5","4","4","4","4","1","1","1","1","2","2","1","1","1","-999","0","0","1.8","16.666666666666668","33.166666666666664","26.6","17.9","16.116666666666667","7.383333333333334","15.866666666666667","23.633333333333333","19.816666666666666","26.133333333333333","9.483333333333333","14.35","6.1","0","18.85","13.1","17.677777777777774"
"23","99","34","8.409090995788574","7","2","2","3","1","2","2","1","1","2","1","1","1","2","1","1","1","1.5","25.316666666666666","10.016666666666667","23.916666666666668","27.4","14.883333333333333","1428.2166666666667","26.15","38.95","1410.15","37.766666666666666","21.25","28.7","1433.4333333333334","6.783333333333333","40.46666666666667","35.28333333333333","288.04270833333334"
"24","65","52","10.045454978942871","13","1","0","0","0","0","0","1","1","0","-999","1","-999","2","2","4","-999","0.9230769230769231","18.9","13.816666666666666","29.9","29.216666666666665","24.616666666666667","0","28.183333333333334","56.36666666666667","19.75","0","18.85","0","10.05","7.866666666666666","23.716666666666665","0","23.436111111111106"
"25","135","32","13.965909004211426","4","4","4","4","0","4","-41","3","2","3","-20","1","-14","2","-7","4","0","-3.1875","17.983333333333334","128.68333333333334","38.88333333333333","23.383333333333333","26.633333333333333","14.633333333333333","47.15","51.06666666666667","41.11666666666667","119.36666666666666","28.716666666666665","29.583333333333332","16.516666666666666","8.45","38.45","23.883333333333333","40.90625000000001"
"26","93","52","8.670454978942871","1","-7","-7","-8","-8","-7","-7","-18","-18","-18","-18","-12","-12","-6","-6","0","0","-9.5","0","1412.45","0","75.51666666666667","0","18.666666666666668","0","35.7","0","42.7","0","51.31666666666667","0","26.533333333333335","61.63333333333333","47.5","196.89074074074077"
"27","142","27","10.090909004211426","5","4","-2","3","3","4","-999","4","-999","4","-999","3","-999","4","-999","4","-999","3.1","68.9","0","120.4","76.95","90.68333333333334","0","73.58333333333333","0","72.96666666666667","0","84.76666666666667","0","64.38333333333334","0","88.88333333333334","0","82.39074074074074"
"28","52","57","4.204545497894287","0","1","0","0","0","0","0","1","0","1","0","0","0","0","-1","0","0","0.125","28.2","27.133333333333333","57.21666666666667","63.38333333333333","43.516666666666666","19.6","53.95","61.71666666666667","38.75","68.53333333333333","51.9","55.666666666666664","48.3","30.366666666666667","72.0","59.0","48.70208333333333"
"29","142","25","9.886363983154297","0","3","1","3","1","3","1","3","2","3","1","2","1","2","1","3","1","1.9375","25.55","34.53333333333333","44.68333333333333","51.016666666666666","35.766666666666666","28.616666666666667","54.9","0","72.73333333333333","66.01666666666667","44.666666666666664","70.91666666666667","26.216666666666665","16.1","55.61666666666667","34.18333333333333","44.10111111111111"
"30","124","36","9.0","4","3","3","3","3","3","-38","3","3","2","-17","1","1","3","3","3","3","-1.125","34.2","26.233333333333334","50.56666666666667","45.86666666666667","28.216666666666665","0","52.8","62.333333333333336","70.1","0","22.966666666666665","41.516666666666666","14.866666666666667","16.116666666666667","26.583333333333332","0","37.87435897435897"
"31","78","43","8.590909004211426","9","4","4","4","1","4","-999","1","1","1","-999","1","0","3","3","1","1","2.0714285714285716","15.583333333333334","94.65","18.233333333333334","17.983333333333334","9.866666666666667","0","27.066666666666666","20.716666666666665","16.05","0","14.0","19.366666666666667","7.85","4.666666666666667","17.016666666666666","15.483333333333333","21.323809523809526"
"32","113","22","9.704545021057129","3","3","0","3","1","2","-999","3","2","2","-25","1","-999","1","-999","4","3","0","21.85","13.9","23.0","22.416666666666668","22.95","0","34.6","43.166666666666664","33.2","0","24.35","0","17.016666666666666","0","30.95","24.316666666666666","25.976388888888888"
"33","76","47","7.159090995788574","0","2","-999","2","-3","4","2","2","-999","4","4","3","3","3","1","1","-999","2.1538461538461537","27.966666666666665","0","28.7","0","11.616666666666667","0","25.933333333333334","0","33.93333333333333","0","21.116666666666667","25.15","11.866666666666667","0","18.383333333333333","0","22.740740740740744"
"34","175","28","13.488636016845703","5","2","1","2","1","2","0","1","0","2","0","1","1","1","0","1","0","0.9375","40.6","16.95","39.766666666666666","33.55","23.083333333333332","20.05","36.1","34.96666666666667","48.43333333333333","32.983333333333334","21.783333333333335","51.28333333333333","12.833333333333334","10.95","24.35","28.966666666666665","29.790625000000002"
"35","68","52","4.818181991577148","3","2","-999","2","-999","3","-999","2","-999","1","-999","1","-999","4","-999","-4","-999","1.375","18.616666666666667","0","29.216666666666665","0","18.016666666666666","0","25.3","0","25.066666666666666","0","30.416666666666668","0","10.733333333333333","0","0","0","22.480952380952377"
"36","78","46","6.488636493682861","1","1","-999","1","-999","1","0","0","-999","1","-999","1","-999","0","0","0","-999","0.5","14.45","0","20.9","0","15.266666666666667","17.116666666666667","19.9","0","24.283333333333335","0","1426.3333333333333","0","9.133333333333333","5.95","24.2","0","157.75333333333336"
"37","71","45","6.170454502105713","13","2","1","0","0","0","0","-999","-25","-999","-15","-999","-13","-999","-7","0","0","-4.75","29.416666666666668","0","47.06666666666667","25.083333333333332","28.7","1.3833333333333333","0","1409.85","0","39.03333333333333","0","42.61666666666667","0","16.466666666666665","23.85","23.866666666666667","153.39393939393938"
