"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes"
"1","32","7.079365253448486","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","22.333333333333332","19.616666666666667","19.616666666666667","22.116666666666667","14.05","17.05","6.333333333333333","7.45","0","0","13.379166666666668"
"2","52","3.7142856121063232","33","21.216666666666665","16.1","30.2","34.416666666666664","14.6","1.25","100.43333333333334","0","28.816666666666666","1.35","21.633333333333333","24.333333333333332","0","0","0","0","18.396874999999998"
"3","28","6.761904716491699","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","23.7","0","24.05","17.133333333333333","31.416666666666668","0","19.366666666666667","32.233333333333334","0","0","0","0","15.511458333333334"
"4","30","6.888888835906982","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","31.5","31.616666666666667","34.3","39.85","27.75","40.666666666666664","22.383333333333333","11.416666666666666","0","0","21.37708333333334"
"5","14","11.301587104797363","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","54.78333333333333","84.36666666666666","97.38333333333334","74.05","58.71666666666667","34.166666666666664","57.8","0","0","0","0","44.28124999999999"
"6","3","16.158729553222656","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","33.31666666666667","0","27.9","0","21.533333333333335","0","15.883333333333333","0","0","0","18.16875"
"7","31","9.7619047164917","130","9.0","0","16.216666666666665","0","19.1","0","42.016666666666666","20.75","15.383333333333333","0","18.566666666666666","0","0","0","0","0","8.814583333333333"
"8","33","7.333333492279053","86","0","11.316666666666666","0","1403.1833333333334","16.833333333333332","0","0","1414.8166666666666","0","68.08333333333333","0","0","0","0","0","0","182.13958333333332"
"9","17","8.095237731933594","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","36.2","0","30.316666666666666","0","15.616666666666667","0","7.033333333333333","0","0","0","11.022916666666667"
"11","15","11.20634937286377","135","27.75","18.816666666666666","53.68333333333333","0","49.516666666666666","61.86666666666667","85.05","66.25","89.51666666666667","0","44.083333333333336","51.4","16.466666666666665","0","0","0","35.275"
"12","21","10.55555534362793","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","33.333333333333336","23.9","27.8","0","17.65","19.766666666666666","18.066666666666666","0","0","0","14.742708333333333"
"13","28","8.65079402923584","113","16.183333333333334","0","20.4","18.683333333333334","25.333333333333332","16.05","28.5","0","34.11666666666667","0","22.883333333333333","0","0","0","0","0","11.384374999999999"
"14","30","7.38095235824585","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","41.083333333333336","0","25.566666666666666","30.316666666666666","19.233333333333334","0","12.533333333333333","10.05","0","0","99.64375"
"15","39","7.634920597076416","65","19.816666666666666","9.1","23.4","0","0","14.4","16.533333333333335","0","19.783333333333335","0","13.8","25.25","13.066666666666666","4.716666666666667","0","0","9.991666666666665"
"16","19","14.333333015441895","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","22.066666666666666","23.75","34.9","27.7","13.95","20.933333333333334","12.4","0","0","0","16.282291666666666"
"17","32","6.317460536956787","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","23.716666666666665","20.216666666666665","26.266666666666666","0","13.366666666666667","18.1","5.766666666666667","3.45","0","0","11.076041666666669"
"18","36","6.317460536956787","65","17.433333333333334","16.7","40.516666666666666","0","21.133333333333333","18.766666666666666","33.2","0","22.883333333333333","35.88333333333333","30.233333333333334","0","17.7","12.9","0","0","16.709374999999998"
"19","16","11.365078926086426","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","34.18333333333333","0","52.46666666666667","0","24.116666666666667","0","17.516666666666666","0","0","0","13.230208333333334"
"20","29","7.269841194152832","75","24.3","13.716666666666667","28.3","0","19.15","0","39.833333333333336","0","42.93333333333333","12.55","21.466666666666665","0","11.166666666666666","0","0","0","13.338541666666668"
"21","40","8.126984596252441","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","36.666666666666664","18.75","26.45","1415.7666666666667","71.08333333333333","0","24.583333333333332","1416.5666666666666","0","0","0","0","195.078125"
"22","26","7.936507701873779","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","15.716666666666667","23.183333333333334","19.7","25.916666666666668","9.383333333333333","14.216666666666667","5.95","0","0","0","14.290624999999997"
"23","17","9.857142448425293","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","25.983333333333334","38.7","1410.7333333333333","37.666666666666664","21.1","28.6","5.766666666666667","6.633333333333334","0","0","193.28437499999998"
"24","37","9.88888931274414","65","17.95","13.5","29.466666666666665","29.016666666666666","23.966666666666665","0","28.0","52.75","19.616666666666667","0","18.633333333333333","0","9.933333333333334","7.716666666666667","0","0","15.659375"
"25","19","13.460317611694336","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","0","46.46666666666667","47.78333333333333","40.733333333333334","0","28.45","0","16.216666666666665","0","0","0","19.21458333333333"
