"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"1","10","8.904762268066406","72","16.633333333333333","11.966666666666667","18.733333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","15.777777777777779"
"2","17","5.5714287757873535","33","21.216666666666665","16.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.65833333333333"
"3","8","8.285714149475098","91","25.033333333333335","18.066666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.55"
"4","9","9.380952835083008","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","0","0","0","0","0","0","0","0","0","0","0","0","21.316666666666666"
"5","3","14.666666984558105","133","26.8","19.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.925"
"6","2","19.66666603088379","194","40.35","32.733333333333334","39.63333333333333","26.15","0","0","0","0","0","0","0","0","0","0","0","0","34.71666666666667"
"7","9","13.714285850524902","130","9.0","0","16.216666666666665","0","0","0","0","0","0","0","0","0","0","0","0","0","12.608333333333333"
"8","12","11.095237731933594","86","0","11.316666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.316666666666666"
"9","5","10.476190567016602","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","0","0","0","0","0","0","0","0","0","0","0","0","18.28333333333333"
"11","4","16.095237731933594","135","27.75","18.816666666666666","53.68333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","33.416666666666664"
"12","5","14.904762268066406","84","24.516666666666666","15.383333333333333","22.45","0","0","0","0","0","0","0","0","0","0","0","0","0","20.78333333333333"
"13","8","11.2380952835083","113","16.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.183333333333334"
"14","9","9.714285850524902","78","32.166666666666664","0","1396.9166666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","714.5416666666667"
"15","10","9.380952835083008","65","19.816666666666666","9.1","23.4","0","0","0","0","0","0","0","0","0","0","0","0","0","17.438888888888886"
"16","6","14.952381134033203","123","16.55","21.883333333333333","22.8","15.616666666666667","0","0","0","0","0","0","0","0","0","0","0","0","19.2125"
"17","6","10.571428298950195","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","0","0","0","0","0","0","0","0","0","0","0","0","13.120833333333335"
"18","12","8.571428298950195","65","17.433333333333334","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.066666666666666"
"19","7","17.380952835083008","124","32.083333333333336","0","25.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","28.633333333333333"
"20","9","9.857142448425293","75","24.3","13.716666666666667","28.3","0","0","0","0","0","0","0","0","0","0","0","0","0","22.105555555555554"
"21","13","10.428571701049805","80","20.35","25.133333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.741666666666667"
"22","4","11.619047164916992","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","0","0","0","0","0","0","0","0","0","0","0","0","22.825"
"23","5","13.2380952835083","99","20.233333333333334","9.85","23.766666666666666","20.4","0","0","0","0","0","0","0","0","0","0","0","0","18.5625"
"24","11","11.714285850524902","65","17.95","13.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.725"
"25","3","19.571428298950195","135","15.716666666666667","25.65","37.8","0","0","0","0","0","0","0","0","0","0","0","0","0","26.388888888888886"
"26","13","6.333333492279053","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"27","6","16.714284896850586","142","66.61666666666666","0","119.9","76.7","0","0","0","0","0","0","0","0","0","0","0","0","87.73888888888888"
"28","11","5.0","52","27.8","27.016666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.40833333333333"
"29","6","11.333333015441895","142","22.9","34.083333333333336","44.11666666666667","50.7","0","0","0","0","0","0","0","0","0","0","0","0","37.95"
"30","2","15.142857551574707","124","33.8","25.866666666666667","50.38333333333333","45.5","0","0","0","0","0","0","0","0","0","0","0","0","38.8875"
"31","6","15.571428298950195","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","0","0","0","0","0","0","0","0","0","0","0","0","14.804166666666665"
"32","1","14.047618865966797","113","20.9","13.65","22.566666666666666","22.25","0","0","0","0","0","0","0","0","0","0","0","0","19.841666666666665"
"33","10","10.2380952835083","76","26.866666666666667","0","28.45","0","0","0","0","0","0","0","0","0","0","0","0","0","27.65833333333333"
"34","7","17.428571701049805","175","40.13333333333333","16.716666666666665","38.833333333333336","33.233333333333334","0","0","0","0","0","0","0","0","0","0","0","0","32.22916666666667"
"35","13","7.61904764175415","68","18.116666666666667","0","28.85","0","0","0","0","0","0","0","0","0","0","0","0","0","23.483333333333334"
"36","8","10.190476417541504","78","11.533333333333333","0","20.2","0","0","0","0","0","0","0","0","0","0","0","0","0","15.866666666666667"
"37","10","7.952381134033203","71","27.416666666666668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.416666666666668"
"38","14","7.476190567016602","119","13.333333333333334","11.816666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.575"
"39","10","9.714285850524902","136","18.6","15.833333333333334","30.866666666666667","27.5","0","0","0","0","0","0","0","0","0","0","0","0","23.200000000000003"
"40","8","8.047618865966797","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","0","0","0","0","0","0","0","0","0","0","0","0","15.516666666666666"
"41","5","18.190475463867188","157","19.966666666666665","0","32.75","26.066666666666666","0","0","0","0","0","0","0","0","0","0","0","0","26.26111111111111"
"42","13","8.428571701049805","52","36.083333333333336","24.683333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.383333333333333"
"43","10","8.476190567016602","55","13.683333333333334","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.991666666666667"
"44","10","11.952381134033203","89","20.366666666666667","0","30.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","25.275"
"45","9","14.285714149475098","156","49.733333333333334","19.833333333333332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.78333333333333"
"46","6","10.809523582458496","148","27.483333333333334","30.866666666666667","42.15","0","0","0","0","0","0","0","0","0","0","0","0","0","33.5"
"47","7","16.14285659790039","138","21.283333333333335","13.866666666666667","35.3","0","0","0","0","0","0","0","0","0","0","0","0","0","23.483333333333334"
"48","7","10.142857551574707","88","12.15","0","21.916666666666668","21.166666666666668","0","0","0","0","0","0","0","0","0","0","0","0","18.41111111111111"
"49","3","12.857142448425293","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","0","0","0","0","0","0","0","0","0","0","0","0","46.90416666666667"
"50","8","9.428571701049805","112","43.7","27.883333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.79166666666667"
"51","7","11.285714149475098","121","15.066666666666666","14.716666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.891666666666666"
"52","11","8.666666984558105","70","33.38333333333333","17.983333333333334","41.38333333333333","44.06666666666667","0","0","0","0","0","0","0","0","0","0","0","0","34.204166666666666"
"53","5","12.857142448425293","137","19.15","24.6","26.4","30.083333333333332","0","0","0","0","0","0","0","0","0","0","0","0","25.058333333333334"
"54","7","12.0","158","25.95","15.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.525"
"55","2","19.428571701049805","183","45.36666666666667","63.1","1391.2166666666667","65.81666666666666","0","0","0","0","0","0","0","0","0","0","0","0","391.375"
"56","10","10.142857551574707","94","18.533333333333335","0","29.8","0","0","0","0","0","0","0","0","0","0","0","0","0","24.166666666666668"
"57","5","12.142857551574707","103","56.81666666666667","52.4","87.73333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","65.64999999999999"
"58","9","17.428571701049805","122","36.75","0","37.03333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","36.891666666666666"
"59","7","12.333333015441895","94","18.35","13.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.025"
"60","4","9.047618865966797","88","29.1","17.083333333333332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.09166666666667"
"61","4","17.238094329833984","198","22.266666666666666","0","33.96666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","28.116666666666667"
"62","7","12.857142448425293","99","28.283333333333335","17.933333333333334","50.266666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","32.16111111111111"
"63","8","10.809523582458496","106","16.566666666666666","18.133333333333333","31.733333333333334","23.583333333333332","0","0","0","0","0","0","0","0","0","0","0","0","22.504166666666666"
"64","3","19.571428298950195","182","81.56666666666666","0","93.51666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","87.54166666666666"
"65","6","13.333333015441895","119","25.266666666666666","19.6","34.65","0","0","0","0","0","0","0","0","0","0","0","0","0","26.505555555555556"
"66","15","7.714285850524902","90","0","51.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.1"
"67","8","10.095237731933594","82","38.266666666666666","0","48.88333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","43.575"
"68","7","9.0","90","17.1","17.333333333333332","30.083333333333332","19.866666666666667","0","0","0","0","0","0","0","0","0","0","0","0","21.09583333333333"
"69","3","11.476190567016602","143","11.383333333333333","8.366666666666667","18.1","0","0","0","0","0","0","0","0","0","0","0","0","0","12.616666666666667"
"70","5","8.619047164916992","90","16.15","0","20.65","0","0","0","0","0","0","0","0","0","0","0","0","0","18.4"
"71","1","17.952381134033203","188","28.116666666666667","18.416666666666668","33.233333333333334","29.1","0","0","0","0","0","0","0","0","0","0","0","0","27.21666666666667"
"72","6","10.476190567016602","94","25.383333333333333","0","32.166666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","28.775"
"73","2","13.0","126","18.6","12.683333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.641666666666667"
"74","9","9.619047164916992","76","35.81666666666667","19.633333333333333","27.5","0","0","0","0","0","0","0","0","0","0","0","0","0","27.650000000000002"
"75","8","13.142857551574707","121","43.583333333333336","25.516666666666666","57.95","21.966666666666665","0","0","0","0","0","0","0","0","0","0","0","0","37.25416666666666"
"76","4","12.333333015441895","93","8.3","6.716666666666667","16.766666666666666","14.95","0","0","0","0","0","0","0","0","0","0","0","0","11.683333333333334"
"77","12","9.2380952835083","107","0","27.933333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.933333333333334"
"78","11","8.285714149475098","66","26.416666666666668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.416666666666668"
"79","5","11.714285850524902","86","18.8","17.1","22.633333333333333","16.05","0","0","0","0","0","0","0","0","0","0","0","0","18.645833333333336"
"80","10","13.571428298950195","156","25.733333333333334","52.78333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.25833333333333"
"81","12","6.666666507720947","52","14.366666666666667","0","17.716666666666665","0","0","0","0","0","0","0","0","0","0","0","0","0","16.041666666666664"
"82","9","12.809523582458496","90","19.516666666666666","25.466666666666665","30.333333333333332","34.0","0","0","0","0","0","0","0","0","0","0","0","0","27.329166666666666"
"83","7","9.619047164916992","83","21.733333333333334","1426.3","33.28333333333333","23.666666666666668","0","0","0","0","0","0","0","0","0","0","0","0","376.24583333333334"
"84","6","13.380952835083008","115","26.95","0","44.88333333333333","25.733333333333334","0","0","0","0","0","0","0","0","0","0","0","0","32.52222222222222"
"85","8","21.85714340209961","97","20.266666666666666","79.68333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.975"
"86","10","11.285714149475098","83","21.033333333333335","24.7","43.96666666666667","28.716666666666665","0","0","0","0","0","0","0","0","0","0","0","0","29.604166666666668"
"87","5","10.285714149475098","108","16.083333333333332","11.483333333333333","27.75","0","0","0","0","0","0","0","0","0","0","0","0","0","18.438888888888886"
"88","5","13.285714149475098","109","19.233333333333334","20.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.941666666666666"
"89","8","9.2380952835083","92","21.283333333333335","16.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.741666666666667"
"90","9","8.619047164916992","61","20.816666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.816666666666666"
"91","7","13.380952835083008","115","17.716666666666665","10.166666666666666","31.216666666666665","0","0","0","0","0","0","0","0","0","0","0","0","0","19.7"
"92","8","15.190476417541504","128","42.43333333333333","47.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.09166666666667"
"93","5","13.476190567016602","110","24.883333333333333","0","37.6","0","0","0","0","0","0","0","0","0","0","0","0","0","31.241666666666667"
"94","3","7.5714287757873535","101","11.316666666666666","42.45","32.85","23.333333333333332","0","0","0","0","0","0","0","0","0","0","0","0","27.4875"
"95","13","8.142857551574707","87","20.083333333333332","15.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.791666666666664"
"96","1","23.5238094329834","205","88.8","0","95.35","0","0","0","0","0","0","0","0","0","0","0","0","0","92.07499999999999"
"97","8","15.619047164916992","164","27.283333333333335","53.06666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.175000000000004"
"98","7","12.666666984558105","94","9.833333333333334","7.166666666666667","19.516666666666666","12.383333333333333","0","0","0","0","0","0","0","0","0","0","0","0","12.225"
"99","10","7.190476417541504","72","36.083333333333336","26.45","50.583333333333336","0","0","0","0","0","0","0","0","0","0","0","0","0","37.705555555555556"
"100","10","14.666666984558105","39","13.066666666666666","18.233333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.65"
"101","3","14.714285850524902","126","29.133333333333333","16.933333333333334","28.483333333333334","27.416666666666668","0","0","0","0","0","0","0","0","0","0","0","0","25.491666666666667"
"102","12","10.333333015441895","124","39.35","29.533333333333335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.44166666666667"
"103","12","10.571428298950195","88","24.9","0","24.05","0","0","0","0","0","0","0","0","0","0","0","0","0","24.475"
"104","3","14.571428298950195","142","55.56666666666667","31.483333333333334","52.083333333333336","72.15","0","0","0","0","0","0","0","0","0","0","0","0","52.82083333333334"
"105","62","1.2857142686843872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"106","5","15.0","121","43.9","39.833333333333336","47.7","28.266666666666666","0","0","0","0","0","0","0","0","0","0","0","0","39.925"
"107","12","10.142857551574707","57","19.116666666666667","0","18.483333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8"
"108","16","4.5714287757873535","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"109","13","9.047618865966797","93","49.93333333333333","59.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.86666666666666"
"110","4","16.619047164916992","154","32.45","37.06666666666667","62.0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.838888888888896"
"111","6","12.2380952835083","122","13.866666666666667","12.95","21.783333333333335","18.85","0","0","0","0","0","0","0","0","0","0","0","0","16.8625"
