"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes"
"1","43","6.595238208770752","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","22.333333333333332","19.616666666666667","19.616666666666667","22.116666666666667","14.05","17.05","6.333333333333333","7.45","21.45","19.166666666666668","15.917708333333334"
"2","68","3.9166667461395264","33","21.216666666666665","16.1","30.2","34.416666666666664","14.6","1.25","100.43333333333334","0","28.816666666666666","1.35","21.633333333333333","24.333333333333332","10.333333333333334","0.9166666666666666","30.583333333333332","1.5166666666666666","22.51333333333333"
"3","38","7.523809432983398","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","23.7","0","24.05","17.133333333333333","31.416666666666668","0","19.366666666666667","32.233333333333334","9.7","0","16.316666666666666","17.083333333333332","22.406410256410254"
"4","40","7.345238208770752","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","31.5","31.616666666666667","34.3","39.85","27.75","40.666666666666664","22.383333333333333","11.416666666666666","34.25","35.46666666666667","27.450000000000006"
"5","24","10.297618865966797","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","54.78333333333333","84.36666666666666","97.38333333333334","74.05","58.71666666666667","34.166666666666664","57.8","52.483333333333334","18.266666666666666","70.76666666666667","53.45","56.46666666666666"
"6","12","16.690475463867188","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","33.31666666666667","0","27.9","0","21.533333333333335","0","15.883333333333333","0","29.6","46.11666666666667","30.534722222222225"
"7","41","9.5","130","9.0","0","16.216666666666665","0","19.1","0","42.016666666666666","20.75","15.383333333333333","0","18.566666666666666","0","9.766666666666667","10.266666666666667","14.133333333333333","1417.2833333333333","144.77121212121213"
"8","45","7.059523582458496","86","0","11.316666666666666","0","1403.1833333333334","16.833333333333332","0","0","1414.8166666666666","0","68.08333333333333","0","21.933333333333334","0","12.633333333333333","0","1424.3333333333333","546.6416666666667"
"9","29","7.357142925262451","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","36.2","0","30.316666666666666","0","15.616666666666667","0","7.033333333333333","0","22.216666666666665","17.766666666666666","19.66818181818182"
"11","24","11.166666984558105","135","27.75","18.816666666666666","53.68333333333333","0","49.516666666666666","61.86666666666667","85.05","66.25","89.51666666666667","0","44.083333333333336","51.4","16.466666666666665","0","42.9","0","50.60833333333333"
"12","36","8.416666984558105","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","33.333333333333336","23.9","27.8","0","17.65","19.766666666666666","18.066666666666666","0","20.916666666666668","0","21.400000000000002"
"13","41","8.678571701049805","113","16.183333333333334","0","20.4","18.683333333333334","25.333333333333332","16.05","28.5","0","34.11666666666667","0","22.883333333333333","0","11.666666666666666","6.85","20.033333333333335","18.033333333333335","19.894444444444442"
"14","46","6.464285850524902","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","41.083333333333336","0","25.566666666666666","30.316666666666666","19.233333333333334","0","12.533333333333333","10.05","64.6","1414.6","279.40909090909093"
"15","54","6.904761791229248","65","19.816666666666666","9.1","23.4","0","0","14.4","16.533333333333335","0","19.783333333333335","0","13.8","25.25","13.066666666666666","4.716666666666667","14.65","15.816666666666666","15.861111111111109"
"16","28","14.9880952835083","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","22.066666666666666","23.75","34.9","27.7","13.95","20.933333333333334","12.4","0","21.733333333333334","25.45","20.513333333333332"
"17","44","6.3214287757873535","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","23.716666666666665","20.216666666666665","26.266666666666666","0","13.366666666666667","18.1","5.766666666666667","3.45","11.15","0","13.454761904761908"
"18","46","7.392857074737549","65","17.433333333333334","16.7","40.516666666666666","0","21.133333333333333","18.766666666666666","33.2","0","22.883333333333333","35.88333333333333","30.233333333333334","0","17.7","12.9","28.983333333333334","56.2","27.117948717948714"
"19","26","10.773809432983398","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","34.18333333333333","0","52.46666666666667","0","24.116666666666667","0","17.516666666666666","0","28.033333333333335","0","29.964583333333334"
"20","42","8.107142448425293","75","24.3","13.716666666666667","28.3","0","19.15","0","39.833333333333336","0","42.93333333333333","12.55","21.466666666666665","0","11.166666666666666","0","1411.65","0","162.5066666666667"
"21","47","8.964285850524902","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","36.666666666666664","18.75","26.45","1415.7666666666667","71.08333333333333","0","24.583333333333332","1416.5666666666666","9.05","13.033333333333333","22.416666666666668","39.28333333333333","213.6688888888889"
"22","38","7.38095235824585","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","15.716666666666667","23.183333333333334","19.7","25.916666666666668","9.383333333333333","14.216666666666667","5.95","0","18.7","13.0","17.356666666666662"
"23","31","8.785714149475098","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","25.983333333333334","38.7","1410.7333333333333","37.666666666666664","21.1","28.6","5.766666666666667","6.633333333333334","31.25","25.45","196.82812499999997"
"24","49","10.452381134033203","65","17.95","13.5","29.466666666666665","29.016666666666666","23.966666666666665","0","28.0","52.75","19.616666666666667","0","18.633333333333333","0","9.933333333333334","7.716666666666667","23.25","0","22.816666666666666"
"25","29","14.619047164916992","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","14.483333333333333","46.46666666666667","47.78333333333333","40.733333333333334","32.61666666666667","28.45","29.35","16.216666666666665","8.133333333333333","38.266666666666666","23.733333333333334","28.376041666666666"
