ID	ASR#1 Time	ASR#2A Time	ASR#2B Time	ASR#2C Time	ASR#3 Time	ASR#4 Time	ASR#5 Time	ASR#6 Time	ASR#7A Time	ASR#7B Time	Test#1B TakenTime	Test#2 Part#1B TakenTime	Test#2 Part#2B TakenTime	Test#3B TakenTime	Test#4B TakenTime	Test#5B TakenTime	Test#6B TakenTime	Test#7B TakenTime	Number of late ASR	Number of ASRs	Number of Test B	Number of optinal assignments	Mid-Term Survey Time	End-Term Survey Time	Information Survey Time	Final A Time
56	5	1	2	3	6	0	0	0	0	0	3	4	3	2	0	0	0	0	0	5	4	0	8	0	5	0
57	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	4	0
58	1	1	1	2	2	0	0	0	0	0	2	4	0	4	0	0	0	0	1	5	3	0	6	0	6	0
59	4	1	2	1	1	0	0	0	0	0	4	0	0	4	0	0	0	0	2	6	2	0	0	0	4	0
60	7	2	7	6	11	0	0	0	0	0	0	0	2	2	0	0	0	0	1	5	2	0	5	0	6	0
61	3	1	3	2	2	0	0	0	0	0	4	4	4	2	0	0	0	0	1	5	4	0	9	0	7	0
62	5	1	3	2	3	0	0	0	0	0	2	3	0	4	0	0	0	0	1	5	3	0	7	0	4	0
63	7	2	6	4	5	0	0	0	0	0	0	0	0	3	0	0	0	0	1	5	1	0	0	0	14	0
64	12	1	83	5	2	0	0	0	0	0	3	11	0	4	0	0	0	0	1	5	3	0	6	0	4	0
65	3	1	1	1	0	0	0	0	0	0	9	6	5	0	0	0	0	0	3	4	3	0	3	0	11	0
66	3	2	3	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	8	0
67	4	1	3	2	3	0	0	0	0	0	2	0	3	2	0	0	0	0	1	5	4	0	3	0	4	0
68	2	1	2	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	2	0	0	0	3	0
69	2	0	2	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	5	1	0	5	0	3	0
70	4	1	2	2	3	0	0	0	0	0	3	3	2	2	0	0	0	0	1	5	4	0	8	0	5	0
71	4	1	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	3	0
72	2	1	2	2	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	4	2	0	0	0	4	0
73	3	1	2	1	3	0	0	0	0	0	3	4	4	4	0	0	0	0	1	5	4	0	0	0	4	0
74	5	4	9	8	10	0	0	0	0	0	2	1	0	0	0	0	0	0	1	5	2	0	8	0	8	0
75	2	2	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	4	0	6	0	3	0
76	4	2	6	3	0	0	0	0	0	0	10	6	11	0	0	0	0	0	3	4	3	0	0	0	5	0
77	2	1	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	1	0	0	0	3	0
78	2	1	3	2	2	0	0	0	0	0	2	3	3	3	0	0	0	0	1	5	4	0	3	0	4	0
79	5	1	4	3	4	0	0	0	0	0	3	4	4	4	0	0	0	0	1	5	4	0	2	0	5	0
80	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	3	0
81	4	2	5	3	12	0	0	0	0	0	1	3	3	4	0	0	0	0	1	5	4	0	5	0	4	0
82	2	2	2	7	3	0	0	0	0	0	4	1	1	3	0	0	0	0	1	5	4	0	7	0	8	0
83	4	1	3	9	6	0	0	0	0	0	0	3	0	3	0	0	0	0	1	5	2	0	4	0	4	0
84	8	2	6	3	0	0	0	0	0	0	4	8	11	0	0	0	0	0	0	4	3	0	6	0	8	0
85	4	1	3	2	3	0	0	0	0	0	1	1	3	2	0	0	0	0	1	5	4	0	3	0	4	0
86	2	1	3	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	5	1	0	6	0	4	0
87	2	0	1	2	1	0	0	0	0	0	4	0	4	4	0	0	0	0	1	5	3	0	0	0	6	0
88	2	1	1	2	2	0	0	0	0	0	4	4	4	4	0	0	0	0	1	5	4	0	7	0	4	0
89	4	2	10	4	3	0	0	0	0	0	0	8	3	0	0	0	0	0	1	5	2	0	4	0	3	0
90	3	1	3	2	3	0	0	0	0	0	3	9	0	4	0	0	0	0	1	5	3	0	10	0	4	0
91	4	1	4	3	10	0	0	0	0	0	4	0	0	0	0	0	0	0	1	5	1	0	0	0	6	0
92	4	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	8	0	5	0
93	2	1	2	1	1	0	0	0	0	0	3	3	3	3	0	0	0	0	1	5	4	0	6	0	4	0
94	2	0	2	1	2	0	0	0	0	0	3	4	3	4	0	0	0	0	1	5	4	0	7	0	6	0
95	20	6	12	4	9	0	0	0	0	0	0	4	0	2	0	0	0	0	1	6	2	0	20	0	7	0
96	13	2	8	5	8	0	0	0	0	0	4	4	3	4	0	0	0	0	1	5	4	0	0	0	18	0
97	2	1	3	3	5	0	0	0	0	0	1	1	0	1	0	0	0	0	0	5	4	0	3	0	4	0
98	20	2	21	5	11	0	0	0	0	0	2	0	0	3	0	0	0	0	1	5	2	0	5	0	4	0
99	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0
100	3	1	3	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	4	0	0	0	5	0
101	11	1	10	5	9	0	0	0	0	0	3	4	0	0	0	0	0	0	1	5	2	0	0	0	4	0
102	5	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	6	0	6	0
103	4	1	1	2	4	0	0	0	0	0	1	3	4	4	0	0	0	0	0	5	4	0	2	0	7	0
104	1	1	1	0	2	0	0	0	0	0	9	6	0	0	0	0	0	0	1	5	2	0	0	0	2	0
105	6	1	4	2	4	0	0	0	0	0	1	1	0	2	0	0	0	0	1	5	4	0	3	0	5	0
106	3	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	4	0	5	0
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
108	3	1	5	4	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	4	2	0	0	0	6	0
109	6	1	4	4	7	0	0	0	0	0	2	0	2	3	0	0	0	0	1	5	3	0	24	0	10	0
110	1	1	2	1	2	0	0	0	0	0	2	3	2	2	0	0	0	0	1	5	4	0	6	0	5	0
