ID	ASR#1 Time	ASR#2A Time	ASR#2B Time	ASR#2C Time	ASR#3 Time	ASR#4 Time	ASR#5 Time	ASR#6 Time	ASR#7A Time	ASR#7B Time	Test#1B TakenTime	Test#2 Part#1B TakenTime	Test#2 Part#2B TakenTime	Test#3B TakenTime	Test#4B TakenTime	Test#5B TakenTime	Test#6B TakenTime	Test#7B TakenTime	Number of late ASR	Number of ASRs	Number of Test B	Number of optinal assignments	Mid-Term Survey Time	End-Term Survey Time	Information Survey Time	Final A Time
1	2	2	2	1	9	2	1	3	2	2	0	4	2	3	2	1	3	2	1	10	8	0	3	0	4	98
2	3	1	2	2	3	3	2	2	1	1	4	4	4	0	4	4	4	4	1	10	7	0	11	0	4	74
3	9	0	2	2	5	4	2	3	2	2	2	4	0	4	0	4	0	4	0	10	5	0	7	7	3	0
4	4	1	66	1	2	4	1	12	21	21	0	3	0	3	0	2	2	4	1	10	7	0	6	0	7	82
5	6	3	5	7	7	13	7	10	6	6	4	4	4	4	4	4	4	4	1	10	8	0	17	1	11	0
6	0	1	4	2	6	8	3	4	4	4	2	2	1	0	0	0	0	2	0	10	4	0	0	4	6	141
7	2	2	3	2	2	6	3	4	2	2	0	0	0	4	0	0	4	5	1	10	3	0	4	0	67	69
8	3	1	3	2	3	5	2	2	1	1	7	8	0	19	13	13	6	5	6	10	7	0	0	11	4	116
9	3	1	2	2	2	3	1	3	3	3	2	2	0	0	0	0	0	4	1	10	3	0	4	0	5	0
10	6	1	2	4	5	6	3	7	3	3	4	0	3	4	0	3	0	0	1	10	4	0	17	4	4	144
11	3	1	2	1	3	6	2	3	1	1	2	0	1	2	0	2	0	0	0	10	4	0	4	5	4	92
12	3	1	4	1	6	5	4	3	4	4	0	4	4	0	0	0	4	4	1	10	4	0	0	7	4	67
13	6	1	9	2	3	5	2	3	2	2	0	0	0	0	4	0	2	1	0	10	3	0	7	0	3	96
14	9	1	2	2	3	9	5	3	4	4	0	0	2	0	0	1	1	2	0	10	5	0	7	7	4	85
15	2	0	2	1	2	4	2	3	3	3	1	2	2	2	2	4	0	4	1	10	7	0	4	4	7	90
16	1	0	2	1	1	3	1	1	2	2	2	2	2	3	0	3	1	0	1	10	6	0	0	8	3	70
17	2	1	2	1	3	0	1	2	1	1	3	0	4	0	4	0	3	4	1	10	5	0	2	4	3	67
18	3	1	2	1	3	5	2	3	2	2	0	0	0	0	0	0	0	0	1	10	0	0	5	4	5	113
19	3	1	4	3	4	7	3	5	4	4	4	0	0	0	4	0	0	0	1	10	2	0	15	10	8	81
20	2	1	2	1	2	4	4	3	2	2	4	4	4	5	0	5	4	4	1	10	7	0	0	8	4	98
21	3	1	2	1	5	3	1	2	1	1	0	0	3	3	2	3	0	4	1	10	7	0	5	0	2	0
22	1	1	1	2	2	2	0	1	2	2	2	3	3	3	3	3	3	3	1	10	8	0	12	0	7	91
23	3	0	1	2	1	4	1	3	2	2	4	4	0	3	0	0	2	0	1	10	4	0	7	0	3	75
24	5	1	3	2	4	15	2	4	2	2	0	4	46	2	25	18	11	4	1	10	8	1	10	11	5	123
25	4	2	8	3	4	6	3	11	3	3	12	12	11	22	23	16	10	4	7	10	8	0	0	8	4	107
26	33	2	4	2	6	2	3	5	3	3	0	1	0	0	0	0	0	0	0	10	1	0	26	19	6	0
27	2	0	1	2	2	4	2	2	1	1	4	4	4	4	4	4	5	4	1	10	8	0	4	3	8	81
28	7	2	7	3	12	0	8	6	6	6	3	3	3	0	3	3	3	3	1	10	7	0	17	6	10	123
29	2	2	11	7	1	12	10	6	6	6	1	1	0	1	0	2	1	0	1	10	5	0	12	6	7	162
30	3	1	2	2	2	3	2	2	2	2	0	3	0	3	0	4	1	3	1	10	6	0	4	4	4	0
31	1	0	2	2	4	4	3	2	1	1	4	3	0	2	0	0	0	1	0	10	4	0	14	6	6	87
